posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
06-06-2018, 375.000, 375.000,-, 375.000, 3.409,24 dagen
09-06-2018, 649.000, 649.000,-,,,
20-06-2018, 399.000, 399.000,-, 399.000, 3.694,10 dagen
20-06-2018, 300.000, 300.000,-, 300.000, 4.054,10 dagen
16-06-2018, 600.000, 600.000,-, 600.000, 6.186,14 dagen
21-06-2018, 435.000, 435.000,-, 435.000, 6.304,9 dagen
06-06-2018, 319.000, 319.000,-, 319.000, 6.646,24 dagen
08-06-2018, 425.000, 425.000,-, 425.000, 6.641,22 dagen
18-06-2018, 935.000, 935.000,-, 935.000, 7.083,12 dagen
26-04-2018, 500.000, 500.000,-, 500.000, 4.425,2 maanden
31-05-2018, 795.000, 795.000,-, 795.000, 5.483,1 maand
26-06-2018, 535.000, 535.000,-, 535.000, 6.605,4 dagen
30-06-2018, 495.000, 495.000,-, 495.000, 5.500,Nieuw
29-06-2018, 923.114, 923.114,-, 923.114, 6.073,Nieuw
30-06-2018, 275.000, 275.000,-, 275.000, 5.729,Nieuw
06-06-2018, 475.000, 475.000,-, 475.000, 8.796,24 dagen
22-05-2018, 1.500.000, 1.500.000,-, 1.500.000, 4.792,1 maand
09-06-2018,Prijs op aanvraag,-,n.v.t.,Prijs op aanvraag,-,21 dagen
12-06-2018, 335.000, 335.000,-, 335.000, 3.221,18 dagen
12-05-2018, 640.000, 665.000," -25.000 / -3,8%", 640.000, 4.384,1 maand
16-06-2018, 500.000, 500.000,-, 500.000, 4.545,14 dagen
27-06-2018, 375.000, 375.000,-, 375.000, 6.148,3 dagen
05-06-2018, 450.000, 450.000,-, 450.000, 6.081,25 dagen
30-06-2018, 265.000, 265.000,-, 265.000, 3.155,Nieuw
15-06-2018, 525.000, 525.000,-, 525.000, 4.773,15 dagen
21-06-2018, 225.000, 225.000,-, 225.000, 2.616,9 dagen
19-06-2018, 475.000, 475.000,-,,,
18-06-2018, 259.000, 259.000,-, 259.000, 3.198,12 dagen
19-05-2018, 274.011, 274.011,-, 274.011, 4.807,1 maand
09-05-2018, 409.000, 449.000," -40.000 / -8,9%", 409.000, 6.391,1 maand
07-06-2018, 374.000, 374.000,-, 374.000, 4.506,23 dagen
13-06-2018, 525.000, 525.000,-, 525.000, 8.898,17 dagen
11-06-2018, 600.000, 600.000,-, 600.000, 8.219,19 dagen
26-06-2018, 285.000, 285.000,-, 285.000, 2.794,4 dagen
25-06-2018, 300.000, 300.000,-, 300.000, 4.348,5 dagen
29-06-2018, 490.602, 490.602,-, 490.602, 3.315,Nieuw
29-05-2018, 1.250.000, 1.425.000," -175.000 / -12,3%", 1.250.000, 6.510,1 maand
18-06-2018, 275.000, 275.000,-, 275.000, 3.125,12 dagen
22-06-2018, 350.000, 350.000,-, 350.000, 5.224,8 dagen
23-06-2018, 529.000, 529.000,-, 529.000, 6.961,7 dagen
08-06-2018, 250.000, 250.000,-, 250.000, 3.049,22 dagen
28-05-2018, 750.000, 750.000,-, 750.000, 8.152,1 maand
13-06-2018, 350.000, 350.000,-, 350.000, 2.692,17 dagen
16-06-2018, 365.000, 365.000,-, 365.000, 2.808,14 dagen
06-06-2018, 350.000, 350.000,-, 350.000, 3.933,24 dagen
21-06-2018, 795.000, 795.000,-, 795.000, 8.548,9 dagen
01-06-2018, 200.000, 200.000,-, 200.000, 3.279,29 dagen
20-06-2018, 225.000, 225.000,-, 225.000, 3.409,10 dagen
25-06-2018, 250.000, 250.000,-, 250.000, 3.125,5 dagen
26-06-2018, 225.000, 225.000,-, 225.000, 2.711,4 dagen
02-06-2018, 299.000, 299.000,-, 299.000, 3.360,28 dagen
30-05-2018, 2.795.000, 2.795.000,-, 2.795.000, 5.590,1 maand
23-06-2018, 275.000, 275.000,-, 275.000, 6.250,7 dagen
28-05-2018, 350.000, 350.000,-, 350.000, 3.398,1 maand
18-04-2018, 350.000, 375.000," -25.000 / -6,7%", 350.000, 3.500,2 maanden
15-06-2018, 250.000, 250.000,-, 250.000, 2.688,15 dagen
21-05-2018, 950.000, 950.000,-, 950.000, 6.884,1 maand
05-06-2018, 215.000, 215.000,-, 215.000, 2.688,25 dagen
07-05-2018, 68.000, 68.000,-, 68.000, 3.091,1 maand
22-06-2018, 325.000, 325.000,-, 325.000, 6.771,8 dagen
15-06-2018, 315.000, 315.000,-, 315.000, 4.701,15 dagen
30-06-2018, 500.000, 500.000,-, 500.000, 4.274,Nieuw
30-06-2018, 274.011, 274.011,-, 274.011, 2.854,Nieuw
25-06-2018, 375.000, 375.000,-, 375.000, 5.859,5 dagen
20-06-2018, 225.000, 225.000,-, 225.000, 3.814,10 dagen
29-06-2018, 505.000, 505.000,-, 505.000, 3.507,Nieuw
15-06-2018, 325.000, 325.000,-, 325.000, 6.132,15 dagen
20-05-2018, 400.000, 400.000,-, 400.000, 3.077,1 maand
19-06-2018, 285.000, 285.000,-, 285.000, 5.089,11 dagen
18-06-2018, 225.000, 225.000,-, 225.000, 3.125,12 dagen
21-06-2018, 175.000, 175.000,-, 175.000, 2.778,9 dagen
13-06-2018, 575.000, 575.000,-, 575.000, 6.389,17 dagen
26-04-2018, 1.695.000, 1.695.000,-, 1.695.000,-,2 maanden
21-06-2018, 475.000, 475.000,-, 475.000, 6.250,9 dagen
16-06-2018, 270.000, 270.000,-, 270.000, 3.750,14 dagen
13-06-2018, 215.000, 215.000,-, 215.000, 3.162,17 dagen
29-06-2018, 329.000, 329.000,-, 329.000, 4.634,Nieuw
05-06-2018, 500.000, 500.000,-, 500.000, 6.757,25 dagen
05-06-2018, 275.000, 275.000,-, 275.000, 4.741,25 dagen
31-05-2018, 275.000, 275.000,-, 275.000, 4.583,1 maand
06-04-2018, 650.000, 650.000,-, 650.000, 4.362,2 maanden
05-04-2018, 499.000, 499.000,-, 499.000, 4.057,2 maanden
25-04-2018, 650.000, 690.000," -40.000 / -5,8%", 650.000, 5.603,2 maanden
24-06-2018, 340.000, 340.000,-, 340.000, 6.182,6 dagen
20-06-2018, 210.000, 210.000,-, 210.000, 3.043,10 dagen
23-06-2018, 225.000, 225.000,-, 225.000, 2.848,7 dagen
23-05-2018, 369.000, 369.000,-, 369.000, 3.926,1 maand
19-06-2018, 300.000, 300.000,-, 300.000, 2.857,11 dagen
29-05-2018, 1.395.000, 1.395.000,-, 1.395.000, 4.619,1 maand
12-04-2018, 849.000, 895.000," -46.000 / -5,1%", 849.000, 5.855,2 maanden
19-06-2018, 300.000, 300.000,-, 300.000, 3.846,11 dagen
28-03-2018, 749.000, 749.000,-, 749.000, 6.809,3 maanden
30-05-2018, 459.000, 459.000,-, 459.000, 3.188,1 maand
30-05-2018, 445.000, 445.000,-, 445.000, 3.870,1 maand
23-06-2018, 249.800, 249.800,-, 249.800, 2.939,7 dagen
19-05-2018, 1.395.000, 1.395.000,-, 1.395.000, 8.158,1 maand
31-05-2018, 595.000, 625.000," -30.000 / -4,8%", 595.000, 5.360,0 maanden
16-06-2018, 395.000, 395.000,-, 395.000, 5.267,14 dagen
16-06-2018, 500.000, 500.000,-,,,
16-06-2018, 545.000, 545.000,-, 545.000, 6.488,14 dagen
07-04-2018, 1.950.000, 2.000.000," -50.000 / -2,5%", 1.950.000, 7.414,2 maanden
11-06-2018, 500.000, 500.000,-, 500.000, 6.757,19 dagen
13-06-2018, 285.000, 285.000,-, 285.000, 4.831,17 dagen
21-04-2018, 425.000, 425.000,-, 425.000, 6.071,2 maanden
30-06-2018, 450.000, 450.000,-, 450.000, 3.237,Nieuw
27-06-2018, 300.000, 300.000,-, 300.000, 5.357,3 dagen
10-06-2018, 990.000, 990.000,-, 990.000, 8.684,20 dagen
15-06-2018, 425.000, 425.000,-, 425.000, 5.313,15 dagen
07-06-2018, 2.250.000, 2.250.000,-, 2.250.000, 12.363,23 dagen
24-05-2018, 399.000, 399.000,-, 399.000, 4.433,1 maand
25-05-2018, 375.000, 375.000,-, 375.000, 5.208,1 maand
09-06-2018, 350.000, 350.000,-, 350.000, 6.250,21 dagen
23-06-2018, 800.000, 800.000,-, 800.000, 11.429,7 dagen
05-06-2018, 1.450.000, 1.450.000,-, 1.450.000,-,25 dagen
16-06-2018, 875.000, 875.000,-, 875.000, 7.479,14 dagen
08-05-2018, 325.000, 325.000,-, 325.000, 4.577,1 maand
29-05-2018, 275.000, 275.000,-, 275.000, 3.090,1 maand
10-06-2018, 595.000, 595.000,-, 595.000, 7.727,20 dagen
12-05-2018, 1.585.000, 1.585.000,-, 1.585.000, 9.906,1 maand
23-05-2018, 265.000, 265.000,-, 265.000, 3.272,1 maand
18-05-2018, 495.000, 495.000,-, 495.000, 5.690,1 maand
02-06-2018, 533.000, 533.000,-, 533.000, 5.611,28 dagen
20-06-2018, 175.000, 175.000,-, 175.000, 3.302,10 dagen
06-06-2018, 515.000, 515.000,-, 515.000, 6.438,24 dagen
16-06-2018, 500.000, 500.000,-, 500.000, 5.952,14 dagen
02-06-2018, 1.500.000, 1.500.000,-, 1.500.000, 9.677,28 dagen
25-06-2018, 935.000, 935.000,-, 935.000, 8.578,5 dagen
27-06-2018, 895.000, 895.000,-, 895.000, 5.234,3 dagen
30-06-2018, 350.000, 350.000,-, 350.000, 6.140,Nieuw
29-06-2018, 375.000, 375.000,-, 375.000, 4.630,Nieuw
15-06-2018, 749.000, 749.000,-, 749.000, 7.000,15 dagen
07-05-2018, 1.650.000, 1.650.000,-, 1.650.000, 5.789,1 maand
16-06-2018, 315.000, 315.000,-, 315.000, 4.437,14 dagen
21-06-2018, 599.000, 599.000,-, 599.000, 6.807,9 dagen
13-06-2018, 235.000, 235.000,-, 235.000, 3.357,17 dagen
14-06-2018, 495.000, 495.000,-, 495.000, 5.824,16 dagen
04-06-2018, 385.000, 385.000,-, 385.000, 4.326,26 dagen
