Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,1977,70 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,283,0
Bovenwoning,1926,49 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,52,1
Bovenwoning,1775,162 m²,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,4.001,0
Bovenwoning,2014,200 m²,700 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,Ja,53,7
Appartement,1906,105 m²,311 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,334,0
Appartement,1938,48 m²,154 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,110,0
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,13,0
Bovenwoning,-,85 m²,255 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,8,0
Bovenwoning,-,83 m²,249 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,9,0
Bovenwoning,-,75 m²,225 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,18,0
Woning,1930,56 m²,175 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,271,1
Bovenwoning,-,83 m²,249 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,12,0
Bovenwoning,-,85 m²,255 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,9,0
Bovenwoning,-,75 m²,225 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,17,0
Bovenwoning,-,81 m²,243 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,16,0
Bovenwoning,-,80 m²,240 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,18,0
Benedenwoning,2006,88 m²,372 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,58,0
Woning,-,109 m²,354 m³,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,151,0
Appartement,1966,68 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,1.808,1
Appartement,1904,41 m²,110 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,Ja,-,205,4
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,12,0
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,12,0
Bovenwoning,-,167 m²,501 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,10,0
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,8,0
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,11,0
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,13,0
Woning,1934,74 m²,200 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,125,2
Bovenwoning,-,81 m²,243 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,16,0
Bovenwoning,-,83 m²,240 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,47,0
Appartement,2005,90 m²,-,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,49,0
Appartement,1929,,670 m³,-,-,-,-,-,-,-,8,5,-,-,-,-,-,-,Ja,-,17,0
Boerderij,1955,58 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,10,6
Appartement,-,45 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,9,3
Tussenwoning,-,270 m²,810 m³,-,-,-,-,-,-,-,12,6,-,-,-,-,-,-,-,-,30,7
Bovenwoning,-,30 m²,106 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,217,0
Bovenwoning,-,167 m²,501 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,9,0
Bovenwoning,-,122 m²,366 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,14,0
Appartement,2018,103 m²,309 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,0,0
Tussenwoning,-,442 m²,1.300 m³,126 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,0,0
Bovenwoning,1907,176 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,107,1
Bovenwoning,-,83 m²,240 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,40,0
Appartement,1958,70 m²,243 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,139,1
Bovenwoning,1650,70 m²,250 m³,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.273,1
Bovenwoning,1941,105 m²,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,27,0
Appartement,1994,86 m²,285 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,180,0
Appartement,1910,96 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,63,0
Appartement,1970,106 m²,328 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,130,0
Garage,-,12 m²,24 m³,12 m²,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,Ja,1.191,12
Woon-/winkelpand,1925,52 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,96,0
Penthouse,1996,88 m²,263 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,109,1
Appartement,2006,125 m²,-,-,Zwembad,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,Ja,172,0
Herenhuis,1770,,1.366 m³,186 m²,-,-,-,-,-,-,8,2,-,-,-,-,Ja,-,-,-,108,0
Appartement,1968,92 m²,286 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,260,0
Appartement,1906,,143 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,15,0
Appartement,1998,101 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,0
Appartement,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,18,1
Woon-/winkelpand,1933,60 m²,175 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,73,0
Bovenwoning,1953,50 m²,-,58 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,750,0
Woning,1954,111 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,230,0
Appartement,1881,90 m²,337 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,Ja,-,1.456,13
Bovenwoning,-,81 m²,243 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,16,0
Appartement,1931,140 m²,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,Ja,-,39,0
-,2019,140 m²,375 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,3,0
-,2019,140 m²,375 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,3,0
Bovenwoning,-,122 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,Ja,12,0
Appartement,2008,,380 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,22,2
Appartement,1988,60 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,130,0
Appartement,1930,103 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,401,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,12,0
Bovenwoning,-,198 m²,594 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,26,0
-,-,34 m²,100 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,213,9
Bovenwoning,1925,49 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,128,0
Appartement,2002,92 m²,270 m³,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,317,6
Appartement,1995,90 m²,-,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,-,Ja,144,12
Appartement,1995,87 m²,-,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,-,Ja,121,8
Appartement,1995,87 m²,-,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,-,Ja,105,8
Benedenwoning,1910,41 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,Ja,-,-,-,44,1
Herenhuis,1905,213 m²,800 m³,74 m²,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,251,0
Appartement,2008,85 m²,255 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,33,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,10,0
Benedenwoning,1913,66 m²,-,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,Ja,-,-,-,19,0
Woning,1905,,585 m³,68 m²,-,-,-,-,-,-,9,5,-,-,-,-,-,-,-,-,162,15
Appartement,1965,75 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,1.441,1
Woning,-,125 m²,385 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,Ja,-,32,5
Appartement,1970,99 m²,330 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,380,0
Appartement,1983,71 m²,222 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,260,1
Appartement,1927,55 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,174,0
Bovenwoning,1005,176 m²,-,-,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,-,44,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,9,0
Penthouse,1860,177 m²,494 m³,-,Lift,-,Openhaard,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,142,0
Woning,1940,,515 m³,246 m²,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,73,0
Bovenwoning,-,171 m²,513 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,17,0
Bovenwoning,1979,69 m²,220 m³,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,Ja,61,2
Eengezinswoning,1962,198 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,1.642,0
Appartement,1900,45 m²,112 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,151,3
Woon-/winkelpand,1965,66 m²,212 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,68,0
Appartement,-,170 m²,-,-,LiftZwembad,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,8,2
-,1005,51 m²,191 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,2
Studio,-,87 m²,-,-,LiftZwembad,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,0,0
Appartement,1984,57 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,90,1
Bovenwoning,-,171 m²,513 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,15,0
Eengezinswoning,2010,143 m²,-,130 m²,-,-,-,-,-,-,7,5,-,-,-,-,Ja,-,-,-,1.047,1
Herenhuis,-,297 m²,-,-,-,-,Openhaard,-,-,-,10,9,-,-,-,-,Ja,-,Ja,-,27,0
Bovenwoning,1995,79 m²,240 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,189,1
Benedenwoning,1930,90 m²,246 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,57,0
-,1965,99 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,36,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,8,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,11,0
Bovenwoning,-,208 m²,624 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,11,0
Bovenwoning,-,171 m²,513 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,10,0
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,30,0
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,28,0
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,35,0
Woning,1935,77 m²,282 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,59,1
Benedenwoning,-,116 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,6,0
Dubbele bovenwoning,1906,79 m²,300 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,30,4
Appartement,1906,42 m²,113 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,52,6
Bovenwoning,1998,106 m²,325 m³,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,Ja,122,1
Appartement,1913,91 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,44,0
Grachtenpand,1750,,-,60 m²,-,-,Openhaard,-,-,-,-,-,-,-,-,-,-,-,-,-,34,0
Eengezinswoning,-,161 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,32,0
Appartement,1933,88 m²,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,70,1
Woonboot,1924,80 m²,160 m³,1 m²,-,-,Gaskachel,-,-,-,5,2,-,-,-,-,-,WoningenWaterGracht,-,-,14.106,1
Woon-/winkelpand,1967,70 m²,221 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,976,2
Bovenwoning,1908,26 m²,74 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,352,0
Woning,1912,,2.123 m³,241 m²,-,-,-,-,-,-,14,2,-,-,-,-,-,-,-,-,113,4
Appartement,2007,80 m²,245 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,159,1
Woning,1966,42 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0
Bovenwoning,1966,63 m²,193 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,280,1
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,32,0
Appartement,1906,,285 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,14,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,9,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,14,0
Bovenwoning,-,171 m²,513 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,10,0
Benedenwoning,1924,51 m²,190 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,289,2
-,2019,140 m²,375 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,27,0
Appartement,1905,59 m²,208 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,172,0
Appartement,-,122 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,Ja,21,0
Woning,1900,256 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,0
Woon-/winkelpand,2016,76 m²,246 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,Ja,87,1
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,8,0
Woning,1954,,394 m³,222 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,Ja,39,7
Dubbele bovenwoning,1930,51 m²,464 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,86,7
Appartement,1906,,303 m³,-,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,17,0
Appartement,1964,86 m²,227 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,86,1
Appartement,-,115 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,Ja,-,15,0
-,1963,92 m²,276 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,25,1
Woonboot,1927,39 m²,65 m³,1 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,13.956,3
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,31,0
Bovenwoning,-,198 m²,594 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,17,0
Bovenwoning,1965,80 m²,245 m³,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,98,0
Bovenwoning,1913,228 m²,665 m³,-,-,-,-,-,-,-,8,6,-,-,-,-,-,-,Ja,-,123,4
Studio,2018,132 m²,353 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,59,0
Bovenwoning,1961,68 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,69,0
Benedenwoning,1925,52 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,68,3
Appartement,1989,89 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,37,0
Appartement,2015,28 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,201,9
Tussenwoning,1926,435 m²,1.564 m³,251 m²,-,-,Openhaard,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,198,4
Appartement,-,134 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,Ja,19,0
Appartement,-,117 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,20,1
Appartement,-,117 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,8,0
Twee onder één kap,2002,176 m²,-,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,-,-,130,3
Woning,1930,97 m²,429 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,-,-,140,3
Appartement,1912,160 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,15,0
Woon-/winkelpand,1005,190 m²,606 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,106,0
Woning,1911,70 m²,231 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,15,0
Appartement,2009,80 m²,260 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,79,3
Appartement,-,223 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,22,0
Bovenwoning,1930,60 m²,215 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,101,2
Appartement,1899,40 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,127,4
Appartement,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,15,0
Appartement,1955,101 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,-,181,7
Eengezinswoning,1937,85 m²,302 m³,133 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,952,14
Benedenwoning,1904,53 m²,185 m³,-,-,-,-,-,-,-,-,1,-,-,-,-,Ja,-,-,-,118,0
Appartement,1975,104 m²,275 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,82,0
Bovenwoning,1906,86 m²,594 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,137,0
Bovenwoning,-,58 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,21,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,39,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,39,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,43,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,44,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,28,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,36,1
Woning,1905,56 m²,178 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,82,0
Woning,1929,283 m²,-,-,-,-,-,-,-,-,7,-,-,-,-,-,Ja,-,Ja,-,90,2
Benedenwoning,1928,148 m²,430 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,41,0
Dubbele bovenwoning,1912,145 m²,492 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,52,0
Appartement,1950,69 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,127,0
-,1935,112 m²,300 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,18,0
Benedenwoning,1920,49 m²,181 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,359,4
Appartement,2004,112 m²,280 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,69,6
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,41,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,44,1
Woning,1925,275 m²,825 m³,280 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,729,0
Woonboot,-,,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,417,4
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,30,0
Woning,1924,71 m²,232 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,60,3
Bovenwoning,-,58 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,18,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,37,1
Appartement,1940,49 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,268,1
Benedenwoning,1922,257 m²,750 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,32,0
Eengezinswoning,1954,110 m²,380 m³,92 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,259,0
Appartement,1906,118 m²,347 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,92,0
-,1968,98 m²,326 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,9,0
Herenhuis,1992,154 m²,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,156,1
Woning,1905,86 m²,224 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,88,1
Woning,1875,47 m²,175 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,82,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,51,1
Appartement,1871,65 m²,467 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,115,6
Appartement,1902,,159 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,Ja,23,0
Bovenwoning,1970,60 m²,188 m³,-,Lift,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,386,1
Benedenwoning,1923,56 m²,198 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,123,5
Woning,1989,49 m²,141 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,71,2
Bovenwoning,-,134 m²,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,32,11
-,1906,102 m²,352 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,944,0
Woning,1994,80 m²,244 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,258,0
Appartement,2000,83 m²,249 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,425,0
-,2004,91 m²,281 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,162,0
Woning,1929,61 m²,231 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,277,0
Appartement,1940,54 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,105,0
Tussenwoning,1936,72 m²,251 m³,111 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,600,13
Tussenwoning,-,,-,102 m²,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,82,1
Appartement,1926,53 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,105,6
Woon-/winkelpand,1925,52 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,40,0
Bovenwoning,1932,97 m²,291 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,67,0
Woonboot,-,60 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,905,4
Grachtenpand,1906,130 m²,487 m³,59 m²,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,Ja,1.484,4
Vrijstaande woning,1911,88 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,41,0
Woonboerderij,2004,335 m²,-,-,-,-,-,-,-,-,9,4,-,-,-,-,-,-,-,Ja,456,4
Appartement,1984,64 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,169,8
Appartement,1993,109 m²,335 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,300,1
Benedenwoning,1968,68 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,176,6
Woning,2005,230 m²,-,-,-,-,-,-,-,-,8,7,-,-,-,-,Ja,-,-,-,148,7
Dubbele bovenwoning,1902,137 m²,-,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,-,-,Ja,-,22,0
Landhuis,1910,,-,80 m²,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,36,0
-,-,88 m²,250 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,23,0
Woon-/winkelpand,1904,93 m²,-,-,-,-,Openhaard,-,-,-,3,-,-,-,-,-,-,-,-,-,59,0
