Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,2013,115 m²,352 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,127,4
Bovenwoning,1958,71 m²,240 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,299,11
Tussenwoning,1998,119 m²,397 m³,110 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.393,8
-,1928,148 m²,499 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,160,2
Eengezinswoning,1962,118 m²,-,185 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,89,2
Benedenwoning,1926,60 m²,195 m³,-,Zwembad,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,120,59
Benedenwoning,1933,78 m²,209 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,125,11
Bovenwoning,2002,90 m²,283 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,19,6
Benedenwoning,2006,94 m²,347 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,Ja,53,4
Woning,1928,110 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,115,3
Appartement,2010,98 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,97,4
Watertoren,2001,91 m²,-,105 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,991,3
Benedenwoning,1923,78 m²,300 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,55,4
Benedenwoning,1887,93 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,275,3
Bovenwoning,2008,101 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,3.787,13
Appartement,2008,75 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,106,2
Benedenwoning,1998,110 m²,395 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,443,3
-,2014,104 m²,270 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,101,4
Appartement,2007,108 m²,492 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,122,5
Tussenwoning,1956,74 m²,252 m³,121 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,182,8
Appartement,2012,97 m²,296 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,103,2
Appartement,1933,69 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,99,2
Woonboot,1981,48 m²,113 m³,1 m²,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,1.458,39
Appartement,1905,64 m²,181 m³,-,-,-,Openhaard,-,-,-,3,1,-,-,-,-,-,-,-,-,274,1
