treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Zuid', '1,8 kilometer', 'Museumkwartier']","['BP Commandeur', '1,2 kilometer', 'Museumkwartier']","['Organic Food For You', '68 meter', 'Museumkwartier']","['2e Dalton Basisschool', '403 meter', 'Museumkwartier']","['Bengeltjes NV', '112 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '538 meter', 'Museumkwartier']","['Hendriks II', '131 meter', 'Museumkwartier']","['Filmclub Videotheek Overtoom', '966 meter', 'Museumkwartier']","['Korthals Altes-Levy H R', '318 meter', 'Museumkwartier']","['EviDental', '100 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '401 meter', 'Museumkwartier']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer', 'Museumkwartier']"
"['Amsterdam Centraal', '1,5 kilometer', 'Grachtengordel-West']","['Texaco Bem BV Selfservice', '575 meter', 'Grachtengordel-West']","['Pinguin Avond- & Dagsupermarkt De', '210 meter', 'Grachtengordel-West']","['Jordaan 14e Montessorischool', '345 meter', 'Grachtengordel-West']","['Kids & Zo Centrum', '180 meter', 'Grachtengordel-West']","['Art of Colors Opleidingen', '209 meter', 'Grachtengordel-West']","['Pels De', '37 meter', 'Grachtengordel-West']","['Weng Joeng Hong', '1,3 kilometer', 'Grachtengordel-West']","['Huisarts aan de Herengracht', '182 meter', 'Grachtengordel-West']","['Tandartsen aan de Herengracht', '182 meter', 'Grachtengordel-West']","['Health and Fitness Management BV', '205 meter', 'Grachtengordel-West']","['Boekmanstichting Bibliotheek', '199 meter', 'Grachtengordel-West']"
"['Amsterdam Centraal', '840 meter', 'Grachtengordel-West']","['Texaco Bem BV Selfservice', '1,0 kilometer', 'Grachtengordel-West']","['City Public Supermarkt & Souvenirs', '237 meter', 'Grachtengordel-West']","['Burght Openbare Basisschool', '400 meter', 'Grachtengordel-West']","['Montris 30 BV', '197 meter', 'Grachtengordel-West']","['Amsterdamsche School De', '332 meter', 'Grachtengordel-West']","['Zuylen Café Van', '59 meter', 'Grachtengordel-West']","['Weng Joeng Hong', '797 meter', 'Grachtengordel-West']","['Robbers A R & Zwiers R A J Huisartsen', '234 meter', 'Grachtengordel-West']","['PR Dental', '215 meter', 'Grachtengordel-West']","['Balance4Life', '36 meter', 'Grachtengordel-West']","['Bibliotheca Philosophica Hermetica', '472 meter', 'Grachtengordel-West']"
"['Amsterdam Centraal', '945 meter', 'Haarlemmerbuurt']","['Esso Station FCA', '2,0 kilometer', 'Haarlemmerbuurt']","['Marqt BV', '436 meter', 'Haarlemmerbuurt']","['Montessorischool Eilanden De', '250 meter', 'Haarlemmerbuurt']","['Appels en Peren Kinderdagverblijf', '105 meter', 'Haarlemmerbuurt']","['Eilanden De', '250 meter', 'Haarlemmerbuurt']","[""Blaauwhooft Café 't"", '343 meter', 'Haarlemmerbuurt']","['Videoplaza/Video International', '1,2 kilometer', 'Haarlemmerbuurt']","['A.L.L. huisarts', '488 meter', 'Haarlemmerbuurt']","['Crystal Clinics BV', '127 meter', 'Haarlemmerbuurt']","['Victoria Active Club', '1,0 kilometer', 'Haarlemmerbuurt']","['Bibliotheca Philosophica Hermetica', '1,5 kilometer', 'Haarlemmerbuurt']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,7 kilometer', 'Osdorp-Midden']","['Texaco Benzinestation Osdorp', '1,0 kilometer', 'Osdorp-Midden']","['Supermarkt Karadeniz', '416 meter', 'Osdorp-Midden']","['Johannesschool Protestants Christelijke', '176 meter', 'Osdorp-Midden']","['Rinie-Minie', '134 meter', 'Osdorp-Midden']","['Calandlyceum', '759 meter', 'Osdorp-Midden']","['Silvestre Benelux BV Café', '224 meter', 'Osdorp-Midden']","['Filmclub Videotheek Osdorp', '835 meter', 'Osdorp-Midden']","['Huisartsen Thiel J H & Maanen-Thiel B C van', '205 meter', 'Osdorp-Midden']","['Dentalici', '206 meter', 'Osdorp-Midden']","['Ladies Gym Osdorp', '661 meter', 'Osdorp-Midden']","['Praktizijns Sociëteit Bibliotheek', '5,2 kilometer', 'Osdorp-Midden']"
"['Amsterdam Centraal', '1,8 kilometer', 'Frederik Hendrikbuurt']","['Esso Station FCA', '523 meter', 'Frederik Hendrikbuurt']","['Bario Markt', '508 meter', 'Frederik Hendrikbuurt']","['Bron Rooms Katholieke Basisschool De', '383 meter', 'Frederik Hendrikbuurt']","['Pomydo Kinderdagverblijf', '67 meter', 'Frederik Hendrikbuurt']","['Cartesius Lyceum', '167 meter', 'Frederik Hendrikbuurt']","['Café Sting The', '346 meter', 'Frederik Hendrikbuurt']","['Platebank BV', '332 meter', 'Frederik Hendrikbuurt']","['Gezondheidscentrum Staatsliedenbuurt SAG', '189 meter', 'Frederik Hendrikbuurt']","['Lengkeek F', '170 meter', 'Frederik Hendrikbuurt']","['Fitness Centrum Leidsegracht BV', '497 meter', 'Frederik Hendrikbuurt']","['Bibliotheca Philosophica Hermetica', '785 meter', 'Frederik Hendrikbuurt']"
"['Amsterdam Amstel', '767 meter', 'Rijnbuurt']","['Douwes & Van der Sluis BV', '805 meter', 'Rijnbuurt']","['Albert Heijn', '856 meter', 'Rijnbuurt']","['Catharinaschool Sint', '160 meter', 'Rijnbuurt']","['Kinderdagverblijf Second Home', '73 meter', 'Rijnbuurt']","['Stelle College', '637 meter', 'Rijnbuurt']","['River Side Bar', '91 meter', 'Rijnbuurt']","['Videoland', '1,1 kilometer', 'Rijnbuurt']","['Groepspraktijk Trompenburg', '89 meter', 'Rijnbuurt']","['Tandartspraktijk Uiterwaardenstraat', '55 meter', 'Rijnbuurt']","['Yorbody Ladyfit', '118 meter', 'Rijnbuurt']","['Theosofische Bibliotheek', '1,0 kilometer', 'Rijnbuurt']"
,,,,,,,,,,,
"['Amsterdam Centraal', '2,5 kilometer', 'Tuindorp Buiksloot']","['Total Selfservicestation Kadoelen', '3,0 kilometer', 'Tuindorp Buiksloot']","['C 1000 Voordeelmarkt', '936 meter', 'Tuindorp Buiksloot']","['Buikslotermeerschool', '659 meter', 'Tuindorp Buiksloot']","['Kresje Thuis', '156 meter', 'Tuindorp Buiksloot']","['Bredero Beroepscollege', '402 meter', 'Tuindorp Buiksloot']","[""Boemeltje Café 't"", '360 meter', 'Tuindorp Buiksloot']","['Weng Joeng Hong', '2,7 kilometer', 'Tuindorp Buiksloot']","['Buijs L', '733 meter', 'Tuindorp Buiksloot']","['Tandarts Liem', '635 meter', 'Tuindorp Buiksloot']","['Optimal Fit Pp and H.', '1,6 kilometer', 'Tuindorp Buiksloot']","['IHLIA LGBT heritage', '2,3 kilometer', 'Tuindorp Buiksloot']"
"['Amsterdam Centraal', '2,0 kilometer', 'Staatsliedenbuurt']","['Esso Station FCA', '1,1 kilometer', 'Staatsliedenbuurt']","['Bijkerk De Zuivelshop J', '71 meter', 'Staatsliedenbuurt']","['Westerparkschool', '303 meter', 'Staatsliedenbuurt']","['Kinderdagverblijf Ko', '115 meter', 'Staatsliedenbuurt']","['Maria Nguyen', '147 meter', 'Staatsliedenbuurt']","['Shaquille Café', '156 meter', 'Staatsliedenbuurt']","['Videoplaza/Video International', '255 meter', 'Staatsliedenbuurt']","['Bevers Huisartsenpraktijk', '158 meter', 'Staatsliedenbuurt']","['Parodontologie en Implantologie Praktijk Amsterdam', '162 meter', 'Staatsliedenbuurt']","['Selsa', '624 meter', 'Staatsliedenbuurt']","['Bibliotheca Philosophica Hermetica', '1,4 kilometer', 'Staatsliedenbuurt']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,5 kilometer', 'Staatsliedenbuurt']","['Esso Station FCA', '1,1 kilometer', 'Staatsliedenbuurt']","['Bario Markt', '85 meter', 'Staatsliedenbuurt']","['Westerparkschool', '315 meter', 'Staatsliedenbuurt']","['Kwetternest Kinderdagverblijf IJsterk', '152 meter', 'Staatsliedenbuurt']","['Cartesius Lyceum', '604 meter', 'Staatsliedenbuurt']","['Mojito Man', '104 meter', 'Staatsliedenbuurt']","['Videoplaza/Video International', '298 meter', 'Staatsliedenbuurt']","['Stiekema E', '18 meter', 'Staatsliedenbuurt']","['Renske Bijlenga', '31 meter', 'Staatsliedenbuurt']","['Fitness Centrum Leidsegracht BV', '807 meter', 'Staatsliedenbuurt']","['Bibliotheca Philosophica Hermetica', '940 meter', 'Staatsliedenbuurt']"
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '2,4 kilometer', 'De Krommert']","['Esso Station FCA', '535 meter', 'De Krommert']","['Imazigen Slager', '419 meter', 'De Krommert']","['Roos Openbare Basisschool De', '265 meter', 'De Krommert']","['Olevantjes Kinderopvang De', '81 meter', 'De Krommert']","['Marcanti College', '414 meter', 'De Krommert']","['Café Treffers', '194 meter', 'De Krommert']","['Super Videotheek De Sloterplas', '205 meter', 'De Krommert']","['Huisarts Mellema', '17 meter', 'De Krommert']","['Tandarts S.A. Kroon', '89 meter', 'De Krommert']","['Mij. Kamala', '337 meter', 'De Krommert']","['Bibliotheca Philosophica Hermetica', '1,4 kilometer', 'De Krommert']"
,,,,,,,,,,,
"['Amsterdam Amstel', '1,0 kilometer', 'Weesperzijde']","['Total De Pijp', '1,3 kilometer', 'Weesperzijde']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '590 meter', 'Weesperzijde']","['Pinksterbloem 4e Montessorischool De', '168 meter', 'Weesperzijde']","['Gastouder Copito', '226 meter', 'Weesperzijde']","['Metis Montessori Lyceum (AVO)', '204 meter', 'Weesperzijde']","['Qeens Garden Grandcafé', '163 meter', 'Weesperzijde']","['Movie MAX Moviestores', '434 meter', 'Weesperzijde']","['Garretsen H W A J', '237 meter', 'Weesperzijde']","['Fluitsma Tandarts S M', '235 meter', 'Weesperzijde']","['Only 4 Ladies', '390 meter', 'Weesperzijde']","['Theosofische Bibliotheek', '412 meter', 'Weesperzijde']"
"['Amsterdam Lelylaan', '2,5 kilometer', 'Helmersbuurt']","['Texaco Bem BV Selfservice', '1,0 kilometer', 'Helmersbuurt']","['British General Stores', '373 meter', 'Helmersbuurt']","['Bredeschool Kinkerbuurt De', '453 meter', 'Helmersbuurt']","['Vondelkids', '48 meter', 'Helmersbuurt']","['ABC Het', '812 meter', 'Helmersbuurt']","['BR020', '48 meter', 'Helmersbuurt']","['Asian Music Palace', '672 meter', 'Helmersbuurt']","['Gezondheidscentrum Helmersstraat SAG', '109 meter', 'Helmersbuurt']","['Tandarts van Leeuwen', '43 meter', 'Helmersbuurt']","['Body Desk Fit-Center', '571 meter', 'Helmersbuurt']","['Boekmanstichting Bibliotheek', '1,4 kilometer', 'Helmersbuurt']"
"['Amsterdam Zuid', '2,6 kilometer', 'Helmersbuurt']","['Texaco Bem BV Selfservice', '923 meter', 'Helmersbuurt']","['British General Stores', '219 meter', 'Helmersbuurt']","['Bredeschool Kinkerbuurt De', '519 meter', 'Helmersbuurt']","['Willemientje Kinderdagverblijf', '189 meter', 'Helmersbuurt']","['Barlaeusgymnasium', '827 meter', 'Helmersbuurt']","['Paviljoen Paal 3', '111 meter', 'Helmersbuurt']","['Asian Music Palace', '772 meter', 'Helmersbuurt']","['Lion & Hauser Huisartsen', '27 meter', 'Helmersbuurt']","['Tandarts T.W.Z.', '84 meter', 'Helmersbuurt']","['Body Desk Fit-Center', '501 meter', 'Helmersbuurt']","['Boekmanstichting Bibliotheek', '1,2 kilometer', 'Helmersbuurt']"
"['Amsterdam Centraal', '932 meter', 'Grachtengordel-West']","['Texaco Bem BV Selfservice', '924 meter', 'Grachtengordel-West']","['Europa Supermarkt', '172 meter', 'Grachtengordel-West']","['Burght Openbare Basisschool', '423 meter', 'Grachtengordel-West']","['Kinderopvangonline', '250 meter', 'Grachtengordel-West']","['Amsterdamsche School De', '428 meter', 'Grachtengordel-West']","['Zuylen Café Van', '173 meter', 'Grachtengordel-West']","['Weng Joeng Hong', '912 meter', 'Grachtengordel-West']","['Robbers A R & Zwiers R A J Huisartsen', '298 meter', 'Grachtengordel-West']","['Tandartspraktijk Keizersgracht', '152 meter', 'Grachtengordel-West']","['Balance4Life', '136 meter', 'Grachtengordel-West']","['Bibliotheca Philosophica Hermetica', '364 meter', 'Grachtengordel-West']"
"['Amsterdam Centraal', '1,5 kilometer', 'IJplein en Vogelbuurt']","['Texaco Bem BV Selfservice', '3,4 kilometer', 'IJplein en Vogelbuurt']","['Al Iman Supermarkt', '41 meter', 'IJplein en Vogelbuurt']","['Vogelnest Openbare Basisschool Het', '169 meter', 'IJplein en Vogelbuurt']","['Gastouder Bernice', '247 meter', 'IJplein en Vogelbuurt']","['De nieuwe Havo', '417 meter', 'IJplein en Vogelbuurt']","[""Eitje 't"", '303 meter', 'IJplein en Vogelbuurt']","['Weng Joeng Hong', '1,8 kilometer', 'IJplein en Vogelbuurt']","['Oever T J vd en Versloot C W H', '208 meter', 'IJplein en Vogelbuurt']","['Tandarts Liem', '339 meter', 'IJplein en Vogelbuurt']","['Fit4Less', '1,3 kilometer', 'IJplein en Vogelbuurt']","['Openbare Bibliotheek Amsterdam', '1,3 kilometer', 'IJplein en Vogelbuurt']"
"['Amsterdam Zuid', '840 meter', 'Apollobuurt']","['Samarco Iron Ore Europe BV', '666 meter', 'Apollobuurt']","['Super Marathon', '500 meter', 'Apollobuurt']","['British School of Amsterdam', '386 meter', 'Apollobuurt']","[""Liza's Home"", '435 meter', 'Apollobuurt']","['Sint Ignatius Gymnasium', '433 meter', 'Apollobuurt']","['BB180', '510 meter', 'Apollobuurt']","['Lucky Star Videotheek', '1,3 kilometer', 'Apollobuurt']","['LKTR', '40 meter', 'Apollobuurt']","['Mekenkamp Mondhygiënisten en Tandartsen', '30 meter', 'Apollobuurt']","['Personal Healthclub', '617 meter', 'Apollobuurt']","['Praktizijns Sociëteit Bibliotheek', '633 meter', 'Apollobuurt']"
"['Amsterdam Amstel', '1,4 kilometer', 'Weesperzijde']","['Total Selfservicestation De Pijp', '1,2 kilometer', 'Weesperzijde']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '581 meter', 'Weesperzijde']","['Pinksterbloem 4e Montessorischool De', '289 meter', 'Weesperzijde']","['Hoepel BSO De', '337 meter', 'Weesperzijde']","['IVKO School', '371 meter', 'Weesperzijde']","['Aventura Café Restaurant', '161 meter', 'Weesperzijde']","[""Ram's Filmclub"", '392 meter', 'Weesperzijde']","['Fesoca', '244 meter', 'Weesperzijde']","['Fluitsma Tandarts S M', '128 meter', 'Weesperzijde']","['Care4Fit intermediair in bedrijfsfitness', '554 meter', 'Weesperzijde']","['Theosofische Bibliotheek', '498 meter', 'Weesperzijde']"
"['Amsterdam Zuid', '780 meter', 'Stadionbuurt']","['Samarco Iron Ore Europe BV', '679 meter', 'Stadionbuurt']","['Super Marathon', '340 meter', 'Stadionbuurt']","['Geert Groote School 1 Vrije School voor Basisonderwijs', '369 meter', 'Stadionbuurt']","[""Liza's Home"", '279 meter', 'Stadionbuurt']","['Spinoza-Lyceum Dalton Scholengemeenschap', '291 meter', 'Stadionbuurt']","['Dijk Café Bar Petit-Restaurant Charles', '623 meter', 'Stadionbuurt']","['Lucky Star Videotheek', '1,2 kilometer', 'Stadionbuurt']","['Dekkers A', '225 meter', 'Stadionbuurt']","['Kilsdonk A', '211 meter', 'Stadionbuurt']","['Personal Healthclub', '849 meter', 'Stadionbuurt']","['Praktizijns Sociëteit Bibliotheek', '457 meter', 'Stadionbuurt']"
"['Amsterdam Amstel', '969 meter', 'Frankendael']","['Mobil Station Zeist', '590 meter', 'Frankendael']","['Vomar Voordeelmarkt B.V.', '342 meter', 'Frankendael']","['Katholieke Basisschool Lidwina', '545 meter', 'Frankendael']","['Bibelebontseberg Kinderdagverblijf De', '31 meter', 'Frankendael']","['Montessori College Oost', '579 meter', 'Frankendael']","[""Elsa's Eetcafé"", '286 meter', 'Frankendael']","['Movie MAX Moviestores', '974 meter', 'Frankendael']","['MV Medics', '251 meter', 'Frankendael']","['Tandartspraktijk Watergraafsmeer', '316 meter', 'Frankendael']","['SportCity Amsterdam Wibautstraat', '813 meter', 'Frankendael']","['Theosofische Bibliotheek', '1,5 kilometer', 'Frankendael']"
"['Amsterdam Centraal', '1,5 kilometer', 'Grachtengordel-West']","['Texaco Bem BV Selfservice', '696 meter', 'Grachtengordel-West']","['Pinguin Avond- & Dagsupermarkt De', '335 meter', 'Grachtengordel-West']","['Jordaan 14e Montessorischool', '480 meter', 'Grachtengordel-West']","['Kids & Zo Centrum', '236 meter', 'Grachtengordel-West']","['Art of Colors Opleidingen', '129 meter', 'Grachtengordel-West']","['Wonder Coffeeshop Het', '129 meter', 'Grachtengordel-West']","['Weng Joeng Hong', '1,3 kilometer', 'Grachtengordel-West']","['Huisarts aan de Herengracht', '240 meter', 'Grachtengordel-West']","['Vermaat Tandartspraktijk H W', '134 meter', 'Grachtengordel-West']","['Health and Fitness Management BV', '185 meter', 'Grachtengordel-West']","['Boekmanstichting Bibliotheek', '73 meter', 'Grachtengordel-West']"
"['Amsterdam Centraal', '2,0 kilometer', 'Da Costabuurt']","['Texaco Bem BV Selfservice', '231 meter', 'Da Costabuurt']","['Casa Brazil Portugal', '10 meter', 'Da Costabuurt']","['Jordaan 14e Montessorischool', '476 meter', 'Da Costabuurt']","['Vinci BSO Leonardo da', '142 meter', 'Da Costabuurt']","['Samenwerkingsverband 28 2', '425 meter', 'Da Costabuurt']","['Chesa La', '38 meter', 'Da Costabuurt']","['Asian Music Palace', '1,0 kilometer', 'Da Costabuurt']","['Pleister', '157 meter', 'Da Costabuurt']","['Tandarts FSG', '191 meter', 'Da Costabuurt']","['Pilatesworks', '338 meter', 'Da Costabuurt']","['Bibliotheca Philosophica Hermetica', '842 meter', 'Da Costabuurt']"
"['Amsterdam Zuid', '792 meter', 'Apollobuurt']","['Samarco Iron Ore Europe BV', '573 meter', 'Apollobuurt']","['Food Village WTC', '576 meter', 'Apollobuurt']","['British School of Amsterdam', '276 meter', 'Apollobuurt']","['Kinderdagverblijf De Liefste', '284 meter', 'Apollobuurt']","['Sint Ignatius Gymnasium', '448 meter', 'Apollobuurt']","['BB180', '323 meter', 'Apollobuurt']","['Filmclub Videotheek Cinemagic', '1,3 kilometer', 'Apollobuurt']","['Postema en Kolthof Huisartsenpraktijk', '186 meter', 'Apollobuurt']","['Tandartsenpraktijk Schubertstraat', '203 meter', 'Apollobuurt']","['Apollo Health & Fitness', '661 meter', 'Apollobuurt']","['Praktizijns Sociëteit Bibliotheek', '722 meter', 'Apollobuurt']"
"['Amsterdam Lelylaan', '1,0 kilometer', 'Slotervaart']","['Texaco Benzinestation Osdorp', '843 meter', 'Slotervaart']","['Avondwinkel Uno', '695 meter', 'Slotervaart']","['Daltononderwijs Louis Bouwmeester', '369 meter', 'Slotervaart']","['Groeiboerderij De Kinderdagverblijf', '277 meter', 'Slotervaart']","['Calandlyceum', '1,1 kilometer', 'Slotervaart']","['Rooseboom Café De', '727 meter', 'Slotervaart']","['Sloterplas Cinema Super Videotheek De', '567 meter', 'Slotervaart']","['RLV medical', '548 meter', 'Slotervaart']","['Bethlehem F R', '416 meter', 'Slotervaart']","['YorBody Fysiofit', '254 meter', 'Slotervaart']","['Praktizijns Sociëteit Bibliotheek', '3,4 kilometer', 'Slotervaart']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,4 kilometer', 'Schinkelbuurt']","['BP Commandeur', '729 meter', 'Schinkelbuurt']","['Markt Günes A', '315 meter', 'Schinkelbuurt']","['Nautilus De', '593 meter', 'Schinkelbuurt']","['International Hemp Association', '16 meter', 'Schinkelbuurt']","['ABC Het', '863 meter', 'Schinkelbuurt']","['Café Rousseau', '153 meter', 'Schinkelbuurt']","['Filmclub Videotheek Overtoom', '307 meter', 'Schinkelbuurt']","['JSP Huisartsenzorg', '133 meter', 'Schinkelbuurt']","['Brandon Dental', '47 meter', 'Schinkelbuurt']","['Bridesight Fitness en Fysiotherapie', '413 meter', 'Schinkelbuurt']","['Praktizijns Sociëteit Bibliotheek', '1,9 kilometer', 'Schinkelbuurt']"
"['Amsterdam Zuid', '1,6 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '1,1 kilometer', 'Museumkwartier']","['Organic Food For You', '215 meter', 'Museumkwartier']","['2e Dalton Basisschool', '195 meter', 'Museumkwartier']","['Bengeltjes NV', '100 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '397 meter', 'Museumkwartier']","['King Arthur', '167 meter', 'Museumkwartier']","['Lucky Star Videotheek', '1,0 kilometer', 'Museumkwartier']","['Korthals Altes-Levy H R', '133 meter', 'Museumkwartier']","['Bruin R de', '197 meter', 'Museumkwartier']","['Personal Healthclub', '233 meter', 'Museumkwartier']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer', 'Museumkwartier']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,9 kilometer', 'De Weteringschans']","['Texaco Bem BV Selfservice', '1,2 kilometer', 'De Weteringschans']","['Organic Food for You VOF', '161 meter', 'De Weteringschans']","['Kleine Reus Openbare Basisschool De', '214 meter', 'De Weteringschans']","['Baboffel Baby Kinderdagverblijf', '216 meter', 'De Weteringschans']","['Luzac College Amsterdam', '112 meter', 'De Weteringschans']","['Wetering Café De', '119 meter', 'De Weteringschans']","[""Ram's Filmclub"", '1,2 kilometer', 'De Weteringschans']","['Wetering Huisartsenpraktijk De', '128 meter', 'De Weteringschans']","['Omnivor Tandzorg', '60 meter', 'De Weteringschans']","['Fit For Free Amsterdam Lijnbaansgracht', '370 meter', 'De Weteringschans']","['Zeemanshoop Koninklijk College', '605 meter', 'De Weteringschans']"
,,,,,,,,,,,
"['Amsterdam Centraal', '362 meter', 'Burgwallen-Nieuwe Zijde']","['Texaco Bem BV Selfservice', '1,5 kilometer', 'Burgwallen-Nieuwe Zijde']","['Friends Supermarkt en Souveniers', '75 meter', 'Burgwallen-Nieuwe Zijde']","['Burght Openbare Basisschool', '384 meter', 'Burgwallen-Nieuwe Zijde']","['Prinses Juliana Kinderdagverblijf IJsterk', '279 meter', 'Burgwallen-Nieuwe Zijde']","['Amsterdamsche School De', '151 meter', 'Burgwallen-Nieuwe Zijde']","['Web Bar The', '6 meter', 'Burgwallen-Nieuwe Zijde']","['Weng Joeng Hong', '413 meter', 'Burgwallen-Nieuwe Zijde']","['Berenschot Huisarts M A', '233 meter', 'Burgwallen-Nieuwe Zijde']","['Negem Dental', '242 meter', 'Burgwallen-Nieuwe Zijde']","['Fitness First Amsterdam', '79 meter', 'Burgwallen-Nieuwe Zijde']","['Openbare Bibliotheek Amsterdam', '872 meter', 'Burgwallen-Nieuwe Zijde']"
"['Amsterdam Centraal', '511 meter', 'Haarlemmerbuurt']","['Texaco Bem BV Selfservice', '1,5 kilometer', 'Haarlemmerbuurt']","['Abou Elkhair VOF', '75 meter', 'Haarlemmerbuurt']","['Burght Openbare Basisschool', '198 meter', 'Haarlemmerbuurt']","['Mijn Blokje', '50 meter', 'Haarlemmerbuurt']","['Amsterdamsche School De', '375 meter', 'Haarlemmerbuurt']","['Belgian Beer Caffè', '39 meter', 'Haarlemmerbuurt']","['Weng Joeng Hong', '773 meter', 'Haarlemmerbuurt']","['Groot Huisartsenpraktijk', '46 meter', 'Haarlemmerbuurt']","['Valiente Dental Care', '78 meter', 'Haarlemmerbuurt']","['Fitness First Amsterdam', '398 meter', 'Haarlemmerbuurt']","['Bibliotheca Philosophica Hermetica', '925 meter', 'Haarlemmerbuurt']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,8 kilometer', 'Willemspark']","['BP Commandeur', '655 meter', 'Willemspark']","['Albert Heijn Supermarkt', '425 meter', 'Willemspark']","['2e Dalton Basisschool', '657 meter', 'Willemspark']","['Kinderdagverblijf Klein & Co BV', '412 meter', 'Willemspark']","['Amsterdams Lyceum Het', '368 meter', 'Willemspark']","['Bedier Café', '378 meter', 'Willemspark']","['Lucky Star Videotheek', '394 meter', 'Willemspark']","['Evenaar Mirjam', '102 meter', 'Willemspark']","['Tandartspraktijk Koninginneweg', '116 meter', 'Willemspark']","['IFit Health Station', '540 meter', 'Willemspark']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer', 'Willemspark']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,8 kilometer', 'Grachtengordel-Zuid']","['Texaco Bem BV Selfservice', '790 meter', 'Grachtengordel-Zuid']","['De Ooijevaar', '116 meter', 'Grachtengordel-Zuid']","['Kleine Reus Openbare Basisschool De', '661 meter', 'Grachtengordel-Zuid']","['Kids & Zo Centrum', '320 meter', 'Grachtengordel-Zuid']","['Barlaeusgymnasium', '292 meter', 'Grachtengordel-Zuid']","['Club Church BV', '48 meter', 'Grachtengordel-Zuid']","['Weng Joeng Hong', '1,5 kilometer', 'Grachtengordel-Zuid']","['WHAM', '194 meter', 'Grachtengordel-Zuid']","['Jorna Mw J E A', '179 meter', 'Grachtengordel-Zuid']","['Fitnesscentrum Healthclub Amsterdam BV', '208 meter', 'Grachtengordel-Zuid']","['Boekmanstichting Bibliotheek', '327 meter', 'Grachtengordel-Zuid']"
"['Amsterdam Lelylaan', '2,6 kilometer', 'Osdorp-Midden']","['Texaco Benzinestation Osdorp', '959 meter', 'Osdorp-Midden']","['Supermarkt Karadeniz', '656 meter', 'Osdorp-Midden']","['Openbare Basisschool De Globe', '243 meter', 'Osdorp-Midden']","['PVO Johannes', '214 meter', 'Osdorp-Midden']","['Calandlyceum', '757 meter', 'Osdorp-Midden']","['Silvestre Benelux BV Café', '226 meter', 'Osdorp-Midden']","['Filmclub Videotheek Osdorp', '1,1 kilometer', 'Osdorp-Midden']","['Huisartsen Thiel J H & Maanen-Thiel B C van', '94 meter', 'Osdorp-Midden']","['Dentalici', '76 meter', 'Osdorp-Midden']","['Ladies Gym Osdorp', '481 meter', 'Osdorp-Midden']","['Praktizijns Sociëteit Bibliotheek', '5,2 kilometer', 'Osdorp-Midden']"
"['Amsterdam Amstel', '1,8 kilometer', 'Oude Pijp']","['Total De Pijp', '720 meter', 'Oude Pijp']","['Daily Fresh & Go BV', '195 meter', 'Oude Pijp']","['Oscar Carré Kunstmagneetschool', '272 meter', 'Oude Pijp']","['Gouden Koets Kinderdagverblijf', '193 meter', 'Oude Pijp']","['Montessori Lyceum Amsterdam', '458 meter', 'Oude Pijp']","['Mooie Dingen B.V.', '108 meter', 'Oude Pijp']","[""Ram's Filmclub"", '440 meter', 'Oude Pijp']","['Leloup A E J M', '248 meter', 'Oude Pijp']","['Dental 220', '144 meter', 'Oude Pijp']","['Your Future Fitness Center', '313 meter', 'Oude Pijp']","['Theosofische Bibliotheek', '755 meter', 'Oude Pijp']"
"['Amsterdam Muiderpoort', '819 meter', 'Oosterparkbuurt']","['Mobil Station Zeist', '1,2 kilometer', 'Oosterparkbuurt']","['Cappadocia', '552 meter', 'Oosterparkbuurt']","['Barbaraschool St', '68 meter', 'Oosterparkbuurt']","['Sophie Catalpa Kindercentrum', '175 meter', 'Oosterparkbuurt']","['Metis Montessori Lyceum', '464 meter', 'Oosterparkbuurt']","['Los Angeles VOF Coffeeshop', '120 meter', 'Oosterparkbuurt']","['Movie MAX Moviestores', '344 meter', 'Oosterparkbuurt']","['Bouwmeester E A M en Vries R R de', '296 meter', 'Oosterparkbuurt']","['Bagheri Mitra', '210 meter', 'Oosterparkbuurt']","['Only 4 Ladies', '360 meter', 'Oosterparkbuurt']","['Theosofische Bibliotheek', '1,2 kilometer', 'Oosterparkbuurt']"
