treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Centraal', '955 meter', 'Burgwallen-Oude Zijde']","['Texaco Bem BV Selfservice', '1,2 kilometer', 'Burgwallen-Oude Zijde']","['Haussmann BV The', '98 meter', 'Burgwallen-Oude Zijde']","['Basisschool Sint Antonius', '588 meter', 'Burgwallen-Oude Zijde']","['Gastouder Alexandra', '383 meter', 'Burgwallen-Oude Zijde']","['Art of Colors Opleidingen', '531 meter', 'Burgwallen-Oude Zijde']","['Buurvrouw Café De', '121 meter', 'Burgwallen-Oude Zijde']","['Weng Joeng Hong', '624 meter', 'Burgwallen-Oude Zijde']","['Huisartsenpraktijk Heijnen & De Meij', '249 meter', 'Burgwallen-Oude Zijde']","['Qua Tandartspraktijk Rokin', '270 meter', 'Burgwallen-Oude Zijde']","['Aerobic en Fitness Studio 21', '400 meter', 'Burgwallen-Oude Zijde']","['Zeemanshoop Koninklijk College', '374 meter', 'Burgwallen-Oude Zijde']"
"['Amsterdam Muiderpoort', '1,2 kilometer', 'Middenmeer']","['Mobil Station Zeist', '777 meter', 'Middenmeer']","['Cappadocia', '740 meter', 'Middenmeer']","['Katholieke Basisschool Lidwina', '101 meter', 'Middenmeer']","['Kinderopvang Watergraafsmeer Centraal Bureau', '129 meter', 'Middenmeer']","['Onderwijsstichting Esprit', '343 meter', 'Middenmeer']","[""Elsa's Eetcafé"", '328 meter', 'Middenmeer']","['Movie MAX Moviestores', '1,4 kilometer', 'Middenmeer']","['Gi-Med', '66 meter', 'Middenmeer']","['Tan Drs S P', '20 meter', 'Middenmeer']","['Duofit Fitnesscentrum', '710 meter', 'Middenmeer']","['Internationaal Instituut voor Sociale Geschiedenis', '2,0 kilometer', 'Middenmeer']"
"['Amsterdam RAI', '671 meter', 'Buitenveldert-Oost']","['NRGValue Retail Nederland BV', '475 meter', 'Buitenveldert-Oost']","[""David's Corner"", '772 meter', 'Buitenveldert-Oost']","['12e Montessorischool De Stern', '495 meter', 'Buitenveldert-Oost']","[""Granny's Daycare"", '69 meter', 'Buitenveldert-Oost']","['Joods Bijzonder Onderwijs Stichting JBO', '644 meter', 'Buitenveldert-Oost']","['Surprise Bar BV', '483 meter', 'Buitenveldert-Oost']","['Filmclub Buitenveldert', '1,1 kilometer', 'Buitenveldert-Oost']","['Acupunctuurarts Praktijk Tjiong', '221 meter', 'Buitenveldert-Oost']","['Tandartsen Stibbe Dommering en De Lint', '54 meter', 'Buitenveldert-Oost']","['Fitness Zuidas', '892 meter', 'Buitenveldert-Oost']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer', 'Buitenveldert-Oost']"
"['Amsterdam Centraal', '2,1 kilometer', 'Spaarndammer- en Zeeheldenbuurt']","['BP Nieuwe Hemweg', '902 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Spar Supermarkt', '706 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Spaarndammer Openbare Basisschool De', '185 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Esther Distelbrink', '186 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Het 4e Gymnasium', '260 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Shaquille Café', '770 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Videoplaza/Video International', '889 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Overman Huisarts B', '193 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Graaf M de', '56 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Selsa', '203 meter', 'Spaarndammer- en Zeeheldenbuurt']","['Bibliotheca Philosophica Hermetica', '2,0 kilometer', 'Spaarndammer- en Zeeheldenbuurt']"
"['Amsterdam Sloterdijk', '2,9 kilometer', 'Geuzenveld']","['Total Selfservicestation Vlughtlaan', '2,1 kilometer', 'Geuzenveld']","['Sefa Market', '435 meter', 'Geuzenveld']","['Goeman Borgesiusschool', '652 meter', 'Geuzenveld']","['Wou Kinderopvang Van', '394 meter', 'Geuzenveld']","['Wissel De', '2,5 kilometer', 'Geuzenveld']","[""Sanny's Place Café"", '799 meter', 'Geuzenveld']","['Filmclub Videotheek Zwanenburg', '3,2 kilometer', 'Geuzenveld']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '512 meter', 'Geuzenveld']","['Tandartsenpraktijk Fallah', '873 meter', 'Geuzenveld']","[""Doel Lady's Only Fitnesscentrum Het"", '814 meter', 'Geuzenveld']","['Bibliotheca Philosophica Hermetica', '5,9 kilometer', 'Geuzenveld']"
"['Amsterdam Sloterdijk', '611 meter', 'Slotermeer-Noordoost']","['Tankstation Haris BV', '213 meter', 'Slotermeer-Noordoost']","[""Ah op 't Station"", '597 meter', 'Slotermeer-Noordoost']","['Slootermeer Openbare Basisschool', '327 meter', 'Slotermeer-Noordoost']","['Gastouderbureau Mijn Gastouderopvang', '58 meter', 'Slotermeer-Noordoost']","['Wissel De', '894 meter', 'Slotermeer-Noordoost']","['Tanger Café', '497 meter', 'Slotermeer-Noordoost']","['Tetauni Videotheek', '1,7 kilometer', 'Slotermeer-Noordoost']","['Heerde Huisartsenpraktijk Van', '557 meter', 'Slotermeer-Noordoost']","['Orthocenter Amsterdam West', '60 meter', 'Slotermeer-Noordoost']","['Gym de Benjamin', '268 meter', 'Slotermeer-Noordoost']","['Bibliotheca Philosophica Hermetica', '3,3 kilometer', 'Slotermeer-Noordoost']"
"['Amsterdam Lelylaan', '1,8 kilometer', 'Van Lennepbuurt']","['Zwarte Pomp BV', '1,2 kilometer', 'Van Lennepbuurt']","['CCCP Amsterdam', '347 meter', 'Van Lennepbuurt']","['Amsterdam West Binnen De Ring', '128 meter', 'Van Lennepbuurt']","['Once Upon', '109 meter', 'Van Lennepbuurt']","['ABC Het', '128 meter', 'Van Lennepbuurt']","[""Meo's Colosseum Café"", '245 meter', 'Van Lennepbuurt']","['Asian Music Palace', '305 meter', 'Van Lennepbuurt']","['Wijngaarden Huisartsenpraktijk D van', '202 meter', 'Van Lennepbuurt']","['Bakker Dental', '296 meter', 'Van Lennepbuurt']","['Family Gym The', '209 meter', 'Van Lennepbuurt']","['Boekmanstichting Bibliotheek', '2,0 kilometer', 'Van Lennepbuurt']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,1 kilometer', 'Van Lennepbuurt']","['Texaco Bem BV Selfservice', '1,1 kilometer', 'Van Lennepbuurt']","['Concy.nl', '453 meter', 'Van Lennepbuurt']","['Bredeschool Kinkerbuurt De', '175 meter', 'Van Lennepbuurt']","['Borgheem Kinderopvang', '198 meter', 'Van Lennepbuurt']","['ABC Het', '337 meter', 'Van Lennepbuurt']","['Kashmir Coffeeshop', '17 meter', 'Van Lennepbuurt']","['Asian Music Palace', '132 meter', 'Van Lennepbuurt']","['Wijngaarden Huisartsenpraktijk D van', '149 meter', 'Van Lennepbuurt']","['Tandarts V. Wu', '255 meter', 'Van Lennepbuurt']","['Family Gym The', '223 meter', 'Van Lennepbuurt']","['Boekmanstichting Bibliotheek', '1,7 kilometer', 'Van Lennepbuurt']"
,,,,,,,,,,,
"['Amsterdam Centraal', '964 meter', 'Grachtengordel-West']","['Texaco Bem BV Selfservice', '889 meter', 'Grachtengordel-West']","['Europa Supermarkt', '136 meter', 'Grachtengordel-West']","['Burght Openbare Basisschool', '459 meter', 'Grachtengordel-West']","['Kinderopvangonline', '286 meter', 'Grachtengordel-West']","['Nieuwe School Stichting De', '422 meter', 'Grachtengordel-West']","['Zuylen Café Van', '187 meter', 'Grachtengordel-West']","['Weng Joeng Hong', '933 meter', 'Grachtengordel-West']","['Robbers A R & Zwiers R A J Huisartsen', '333 meter', 'Grachtengordel-West']","['Tandartspraktijk Keizersgracht', '133 meter', 'Grachtengordel-West']","['Balance4Life', '161 meter', 'Grachtengordel-West']","['Bibliotheca Philosophica Hermetica', '337 meter', 'Grachtengordel-West']"
