,Street,Zipcode,current_price,price_per_m2,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,caf̩,(huis)arts,tandarts,fitnesscentrum,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit,neighbourhood
10,John Blankensteinstraat 189 A,1095.0,850000.0, 6.071,Appartement,2018,140.0,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Surinamekade 5 D,1019.0,1589000.0, 4.966,Woonboot,1936,320.0,735.0,1.0,11,6,,,,,,,,,,,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408,
12,Kadoelenweg 380,1035.0,975000.0, 6.771,Herenhuis,1930,144.0,570.0,505.0,4,-,3600.0,737.0,919.0,931.0,707.0,1900.0,84.0,500.0,735.0,1400.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,Kadoelen
13,Nieuwe Leliestraat 186,1015.0,850000.0, 6.071,Herenhuis,1005,140.0,500.0,48.0,4,2,1600.0,535.0,218.0,228.0,336.0,394.0,93.0,130.0,167.0,80.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
14,A. Reitsmakade 20,1060.0,475000.0, 3.125,Tussenwoning,1998,152.0,473.0,143.0,5,4,3300.0,1100.0,267.0,148.0,389.0,1400.0,937.0,76.0,254.0,1200.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
15,Diopter 80,1025.0,539080.0, 3.594,Tussenwoning,1998,150.0,470.0,167.0,5,4,4000.0,1600.0,757.0,705.0,705.0,807.0,869.0,656.0,599.0,872.0,11.96,0.8790259230164964,3.667,0.17,0.14,0.25,0.22,0.23,0.49,0.1,0.41,6.105,0.5,0.22,0.27,"1,9",0.64,0.15,0.44,0.41,17.3,0.0801,Buikslotermeer
16,Willem Mulierhof 45,1067.0,800000.0, 6.780,Bungalow,1965,118.0,534.0,726.0,3,2,3300.0,2300.0,761.0,441.0,441.0,2500.0,757.0,724.0,843.0,775.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,Geuzenveld
17,Galileiplantsoen 34,1098.0,800000.0, 6.061,Herenhuis,1929,132.0,501.0,120.0,7,6,1100.0,1000.0,823.0,155.0,227.0,214.0,483.0,54.0,207.0,524.0,13.51,0.9122434536447275,4.798,0.18,0.14,0.33,0.25,0.1,0.72,0.16,0.12,6.91,0.48,0.22,0.3,"2,0",0.78,0.34,0.39,0.27,23.2,0.0203,Middenmeer
18,Schimmelstraat 55,1053.0,1290000.0, 8.958,Herenhuis,1981,144.0,484.0,196.0,6,4,2400.0,876.0,350.0,195.0,79.0,670.0,194.0,252.0,291.0,546.0,5.135,1.0539999999999998,20.353,0.1,0.12,0.48,0.23,0.07,0.57,0.19,0.24,3.375,0.65,0.2,0.15,"1,5",0.72,0.18,0.4,0.42,17.5,0.09,Kinkerbuurt
19,Ladogameerhof 75,1060.0,295000.0, 3.430,Appartement,1999,86.0,283.0,,3,2,3700.0,1100.0,332.0,517.0,376.0,1700.0,1100.0,340.0,621.0,837.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
20,Oudezijds Voorburgwal 217 B,1012.0,1050000.0, 8.140,Appartement,1005,129.0,,,3,2,955.0,1200.0,98.0,588.0,383.0,531.0,121.0,249.0,270.0,400.0,3.915,1.3513513513513513,11.176,0.06,0.16,0.46,0.26,0.06,0.58,0.27,0.15,2.805,0.72,0.19,0.09,"1,4",0.72,0.22,0.37,0.41,18.9,0.030899999999999997,Burgwallen-Oude Zijde
21,Wethouder Frankeweg 7 3,1098.0,475000.0, 5.523,Bovenwoning,1926,86.0,285.0,,3,2,1200.0,777.0,740.0,101.0,129.0,343.0,328.0,66.0,20.0,710.0,13.51,0.9122434536447275,4.798,0.18,0.14,0.33,0.25,0.1,0.72,0.16,0.12,6.91,0.48,0.22,0.3,"2,0",0.78,0.34,0.39,0.27,23.2,0.0203,Middenmeer
22,Havikshorst 123,1083.0,325000.0, 4.333,Appartement,1963,75.0,203.0,80.0,3,2,671.0,475.0,772.0,495.0,69.0,644.0,483.0,221.0,54.0,892.0,7.105,0.7987341772151898,3.866,0.09,0.09,0.24,0.24,0.34,0.62,0.22,0.16,4.025,0.59,0.25,0.16,"1,6",0.66,0.3,0.38,0.32,23.6,0.0305,Buitenveldert-Oost
23,Spaarndammerdijk 7 X,1013.0,490000.0, 5.444,Appartement,2007,90.0,275.0,2.256,3,-,2100.0,902.0,706.0,185.0,186.0,260.0,770.0,193.0,56.0,203.0,9.69,0.9876923076923078,7.143,0.13,0.11,0.4,0.26,0.09,0.51,0.15,0.34,5.6,0.6,0.18,0.22,"1,7",0.67,0.1,0.44,0.46,15.9,0.1404,Spaarndammer- en Zeeheldenbuurt
24,Philip Vingboonsstraat 16,1067.0,325000.0, 3.250,Hoekwoning,1955,100.0,328.0,80.0,5,4,2900.0,2100.0,435.0,652.0,394.0,2500.0,799.0,512.0,873.0,814.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,Geuzenveld
25,Hendrik Dienskestraat 26,1063.0,575000.0, 5.374,Woning,1953,107.0,411.0,156.0,3,2,611.0,213.0,597.0,327.0,58.0,894.0,497.0,557.0,60.0,268.0,9.185,1.0629213483146067,9.627,0.2,0.15,0.34,0.21,0.11,0.27,0.1,0.63,4.54,0.51,0.17,0.32,"2,0",0.6,0.1,0.45,0.45,16.2,0.1306,Slotermeer-Noordoost
26,Jacob van Lennepkade 408 Hs,1053.0,1100000.0, 7.534,Benedenwoning,1905,146.0,,,4,3,1800.0,1200.0,347.0,128.0,109.0,128.0,245.0,202.0,296.0,209.0,6.775,0.9882525697503672,27.167,0.11,0.12,0.41,0.27,0.1,0.52,0.17,0.31,4.455,0.68,0.16,0.16,"1,5",0.69,0.14,0.43,0.43,17.1,0.1101,Van Lennepbuurt
27,Prof J H Gunningstraat 52,1068.0,549500.0, 3.413,Eengezinswoning,2007,161.0,420.0,143.0,6,-,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,
28,Jan Pieter Heijestraat 83 B,1053.0,425000.0, 6.250,Bovenwoning,1899,68.0,,,3,2,2100.0,1100.0,453.0,175.0,198.0,337.0,17.0,149.0,255.0,223.0,6.775,0.9882525697503672,27.167,0.11,0.12,0.41,0.27,0.1,0.52,0.17,0.31,4.455,0.68,0.16,0.16,"1,5",0.69,0.14,0.43,0.43,17.1,0.1101,Van Lennepbuurt
29,Stentorstraat 29,1035.0,250000.0, 3.571,Eengezinswoning,1958,70.0,290.0,143.0,4,3,,,,,,,,,,,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,
30,Leliegracht 5 2,1016.0,1050000.0, 7.554,Dubbele bovenwoning,1620,139.0,,66.0,5,4,964.0,889.0,136.0,459.0,286.0,422.0,187.0,333.0,133.0,161.0,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01,Grachtengordel-West
31,Duindoornplein 25,1032.0,400000.0, 5.714,Tussenwoning,1931,70.0,249.0,73.0,4,3,2100.0,2400.0,300.0,531.0,103.0,847.0,271.0,510.0,295.0,2200.0,9.38,0.9872881355932204,7.877,0.17,0.13,0.32,0.26,0.12,0.51,0.09,0.4,4.935,0.51,0.19,0.3,"1,9",0.62,0.07,0.43,0.5,14.9,0.1304,Volewijck
32,Hoekenes 60,1068.0,475000.0, 4.750,Woning,1985,100.0,325.0,235.0,4,3,2200.0,589.0,527.0,70.0,70.0,321.0,238.0,311.0,290.0,358.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,Osdorp-Oost
33,Brenner 23,1060.0,425000.0, 3.220,Tussenwoning,1997,132.0,420.0,134.0,5,4,4100.0,1300.0,686.0,809.0,55.0,2100.0,1200.0,747.0,333.0,489.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
34,Poppendammergouw 32,1028.0,1500000.0, 4.011,Woonboerderij,1910,374.0,1.048,7.16,5,4,9100.0,6700.0,3100.0,1500.0,2200.0,6700.0,3500.0,4100.0,2100.0,3500.0,2.12,1.009478672985782,,0.19,0.09,0.21,0.36,0.16,0.88,0.09,0.03,895.0,0.29,0.32,0.39,"2,4",0.76,0.36,0.34,0.3,24.3,0.0005,Waterland
35,Loefzijde 22,1034.0,350000.0, 3.723,Eengezinswoning,1977,94.0,333.0,131.0,5,4,3800.0,1300.0,708.0,328.0,355.0,859.0,1100.0,340.0,340.0,1300.0,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007,Banne Buiksloot
36,Willem Augustinstraat 182,1061.0,500000.0, 4.425,Eengezinswoning,2013,113.0,,185.0,4,3,1500.0,818.0,322.0,536.0,408.0,476.0,528.0,510.0,345.0,127.0,7.34,1.0262068965517241,10.108,0.23,0.17,0.34,0.18,0.08,0.17,0.08,0.75,3.275,0.48,0.16,0.36,"2,2",0.53,0.06,0.44,0.5,14.3,0.18030000000000002,De Kolenkit
37,Tilanusstraat 31 1,1091.0,425000.0, 7.203,Appartement,1911,59.0,213.0,,3,2,1400.0,1500.0,753.0,192.0,75.0,293.0,207.0,108.0,45.0,207.0,10.255,1.019704433497537,14.281,0.13,0.13,0.4,0.27,0.07,0.47,0.15,0.38,6.12,0.62,0.18,0.2,"1,7",0.68,0.14,0.42,0.44,17.2,0.1109,Oosterparkbuurt
38,Sandwijk 50,1035.0,350000.0, 3.182,Eengezinswoning,1993,110.0,355.0,102.0,6,5,4800.0,1200.0,505.0,286.0,460.0,1100.0,1500.0,369.0,1000.0,750.0,8.715,0.9453125,3.556,0.19,0.13,0.27,0.27,0.14,0.64,0.1,0.26,3.905,0.36,0.24,0.4,"2,2",0.73,0.2,0.44,0.36,17.9,0.050499999999999996,Oostzanerwerf
39,Murdoch Mackenziestraat 16,1086.0,695000.0, 5.110,Bovenwoning,2009,136.0,458.0,,6,4,,,,,,,,,,,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,
40,Kweekhoven 18,1068.0,599000.0, 3.967,Herenhuis,2009,151.0,,80.0,6,5,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,
41,Tekkopstraat 107,,300000.0, 2.727,Woning,1983,110.0,370.0,130.0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Vaartstraat 16 3,1075.0,615000.0, 6.543,Bovenwoning,1912,94.0,310.0,,3,2,1700.0,156.0,181.0,664.0,155.0,467.0,53.0,116.0,169.0,72.0,3.725,0.9201030927835051,12.822,0.1,0.1,0.48,0.22,0.1,0.64,0.19,0.17,2.36,0.65,0.2,0.15,"1,5",0.74,0.25,0.41,0.34,20.5,0.0603,Schinkelbuurt
43,Voorsteven 76,1034.0,285000.0, 3.167,Bovenwoning,1977,90.0,224.0,90.0,5,-,,,,,,,,,,,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007,
44,Koninginneweg 155,1075.0,2300000.0, 8.127,Woning,1906,283.0,1.132,,7,4,1700.0,628.0,453.0,573.0,383.0,260.0,403.0,194.0,73.0,544.0,5.235,0.9885931558935362,8.225,0.19,0.1,0.35,0.26,0.1,0.64,0.26,0.1,2.675,0.5,0.22,0.28,"2,0",0.74,0.44,0.28,0.28,33.3,0.020499999999999997,Willemspark
45,Gerda Brautigamstraat 45,1067.0,335000.0, 3.102,Hoekwoning,1991,108.0,361.0,122.0,4,3,3600.0,2500.0,773.0,659.0,148.0,2900.0,1000.0,801.0,1100.0,1000.0,2.32,0.9333333333333335,,0.15,0.15,0.22,0.36,0.12,0.53,0.12,0.35,985.0,0.28,0.31,0.41,"2,4",0.73,0.23,0.43,0.34,18.9,0.030899999999999997,Eendracht
46,'t Voorwerf 13,1027.0,1650000.0, 4.533,Woonboerderij,1992,364.0,1.245,1.3,6,5,5800.0,3800.0,1800.0,1800.0,1800.0,2700.0,1800.0,1900.0,2000.0,1700.0,2.12,1.009478672985782,,0.19,0.09,0.21,0.36,0.16,0.88,0.09,0.03,895.0,0.29,0.32,0.39,"2,4",0.76,0.36,0.34,0.3,24.3,0.0005,Waterland
47,Da Costakade 171 Ii,1053.0,550000.0, 6.627,Bovenwoning,1882,83.0,265.0,,3,2,2100.0,328.0,89.0,565.0,180.0,523.0,59.0,110.0,101.0,396.0,6.775,0.9882525697503672,27.167,0.11,0.12,0.41,0.27,0.1,0.52,0.17,0.31,4.455,0.68,0.16,0.16,"1,5",0.69,0.14,0.43,0.43,17.1,0.1101,Van Lennepbuurt
48,Entrepotdok 211 +pp,1018.0,859000.0, 6.180,Bovenwoning,2001,139.0,406.0,,3,2,796.0,2100.0,426.0,428.0,420.0,539.0,243.0,399.0,64.0,833.0,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901,Oostelijke Eilanden en Kadijken
49,Bandijkstraat 21,1069.0,449021.0, 3.278,Tussenwoning,2012,137.0,510.0,144.0,5,4,3700.0,1800.0,581.0,328.0,328.0,1800.0,546.0,881.0,36.0,1200.0,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906,De Punt
50,Da Costakade 138 A,1053.0,580000.0, 6.517,Benedenwoning,1994,89.0,,108.0,3,2,2200.0,338.0,170.0,423.0,78.0,538.0,67.0,182.0,214.0,302.0,4.395,1.0324074074074074,20.263,0.1,0.11,0.45,0.25,0.09,0.65,0.21,0.14,2.84,0.64,0.21,0.15,"1,5",0.75,0.22,0.4,0.38,19.4,0.050499999999999996,Da Costabuurt
51,Ten Katestraat 34 2,1053.0,275000.0, 6.395,Appartement,1904,43.0,,,2,1,2400.0,774.0,145.0,169.0,104.0,672.0,128.0,108.0,163.0,543.0,5.135,1.0539999999999998,20.353,0.1,0.12,0.48,0.23,0.07,0.57,0.19,0.24,3.375,0.65,0.2,0.15,"1,5",0.72,0.18,0.4,0.42,17.5,0.09,Kinkerbuurt
52,Adrianus van Waertweg 5,1035.0,424011.0, 3.655,Eengezinswoning,1990,116.0,393.0,104.0,5,4,4700.0,582.0,1100.0,257.0,195.0,1700.0,1200.0,733.0,898.0,299.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,Kadoelen
53,Kiekstraat 55,1087.0,390000.0, 3.120,Eengezinswoning,2005,125.0,430.0,125.0,5,4,,,,,,,,,,,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,
54,Kadoelenweg 270,1035.0,475000.0, 3.992,Eengezinswoning,1936,119.0,415.0,209.0,4,3,,,,,,,,,,,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,
55,Watertorenplein 2 L,1051.0,500000.0, 6.173,Appartement,1898,81.0,338.0,,2,1,2100.0,976.0,353.0,473.0,302.0,136.0,374.0,437.0,444.0,809.0,2.585,0.8937728937728937,4.954,0.19,0.11,0.31,0.32,0.07,0.59,0.15,0.26,1.3,0.47,0.19,0.34,"2,0",0.74,0.25,0.41,0.34,19.5,0.0806,Centrale Markt
56,Oude Meerhof 20,1069.0,300000.0, 3.896,Eengezinswoning,1964,77.0,365.0,108.0,4,3,,,,,,,,,,,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906,
57,Ijburglaan 199,1086.0,400000.0, 3.670,Villa,2009,109.0,360.0,103.0,4,2,2300.0,1100.0,2000.0,317.0,210.0,2600.0,310.0,208.0,159.0,751.0,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,IJburg West
58,Overtoom 262 Hs,1054.0,1400000.0,-,Benedenwoning,1889,,820.0,,7,3,2400.0,1100.0,425.0,444.0,19.0,773.0,19.0,140.0,94.0,600.0,7.115,0.9203778677462888,21.356,0.13,0.11,0.44,0.25,0.07,0.66,0.22,0.12,4.46,0.64,0.19,0.18,"1,6",0.76,0.31,0.37,0.32,22.3,0.0405,Helmersbuurt
59,Vrolikstraat 26 D,1091.0,635000.0, 5.522,Appartement,1997,115.0,345.0,,3,2,982.0,1100.0,796.0,283.0,49.0,169.0,267.0,55.0,388.0,180.0,10.255,1.019704433497537,14.281,0.13,0.13,0.4,0.27,0.07,0.47,0.15,0.38,6.12,0.62,0.18,0.2,"1,7",0.68,0.14,0.42,0.44,17.2,0.1109,Oosterparkbuurt
60,Cruquiuskade 173,1018.0,600000.0, 4.918,Bovenwoning,2005,122.0,,,5,4,,,,,,,,,,,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901,
61,Van Baerlestraat 142 Ii,1071.0,1750000.0, 6.863,Bovenwoning,1901,255.0,,,7,5,1800.0,624.0,664.0,507.0,35.0,313.0,160.0,74.0,25.0,341.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104,Museumkwartier
62,Entrepotdok 211,1018.0,799000.0, 5.748,Bovenwoning,2001,139.0,406.0,,3,2,796.0,2100.0,426.0,428.0,420.0,539.0,243.0,399.0,64.0,833.0,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901,Oostelijke Eilanden en Kadijken
63,Zuiderakerweg 125,1069.0,1135000.0, 4.577,Herenhuis,1939,248.0,955.0,589.0,8,5,3500.0,566.0,801.0,461.0,421.0,1500.0,450.0,139.0,318.0,911.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
64,Leeuwarderweg 74,1025.0,645000.0, 5.759,Woning,1910,112.0,455.0,104.0,4,3,2300.0,2800.0,797.0,551.0,117.0,419.0,262.0,738.0,588.0,1800.0,1.685,,4.458,0.23,0.1,0.25,0.32,0.1,0.81,0.15,0.04,655.0,0.24,0.28,0.47,"2,6",0.77,0.41,0.33,0.26,24.3,0.0005,Nieuwendammerdijk en Buiksloterdijk
65,Ward Bingleystraat 63,1065.0,325000.0, 4.221,Eengezinswoning,1958,77.0,275.0,82.0,3,2,,,,,,,,,,,16.495,0.9236151603498542,7.029,0.19,0.13,0.28,0.22,0.18,0.39,0.12,0.49,7.815,0.46,0.23,0.31,"2,1",0.65,0.16,0.45,0.39,17.7,0.09,
66,Sinaasappelstraat 8,1033.0,289011.0, 4.446,Eengezinswoning,1958,65.0,324.0,75.0,5,4,3500.0,1100.0,541.0,629.0,738.0,1900.0,529.0,345.0,484.0,1500.0,10.38,0.9365671641791044,6.287,0.15,0.1,0.27,0.28,0.19,0.7,0.08,0.22,5.185,0.44,0.25,0.31,"2,0",0.69,0.08,0.45,0.47,15.3,0.060700000000000004,Tuindorp Oostzaan
67,Joris Ivensstraat 7,1087.0,469000.0, 4.989,Herenhuis,2005,94.0,344.0,45.0,5,3,,,,,,,,,,,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,
68,Mezquitalaan 118,1064.0,385000.0, 3.565,Appartement,1999,108.0,332.0,,3,2,1300.0,542.0,633.0,328.0,434.0,337.0,780.0,383.0,37.0,892.0,16.495,0.9236151603498542,7.029,0.19,0.13,0.28,0.22,0.18,0.39,0.12,0.49,7.815,0.46,0.23,0.31,"2,1",0.65,0.16,0.45,0.39,17.7,0.09,Slotervaart
69,Van Walbeeckstraat 23-3 + 4,1058.0,590000.0, 5.842,Bovenwoning,1935,101.0,349.0,,4,3,1200.0,1100.0,76.0,519.0,68.0,610.0,141.0,300.0,144.0,357.0,6.38,0.936267071320182,20.52,0.11,0.13,0.48,0.2,0.08,0.58,0.19,0.23,3.875,0.58,0.24,0.18,"1,6",0.76,0.2,0.41,0.39,18.8,0.0602,Westindische buurt
