Street,Zipcode,Price,Broker
De Wittenkade 47 2v,1052 AD, 220.000,Cocq Makelaars Amsterdam
Prinsengracht 235 K,1015 DT, 489.000,Hans Kok
Nieuwe Teertuinen 16 U,1013 LV, 415.000,Bijleveld Makelaardij O.G.
Van Boshuizenstraat 145,1083 AT, 229.000,De Huizenbemiddelaar Amsterdam
Carolina Macgillavrylaan 29 + Pp,1098 XA, 569.000,SEM Makelaars
Cornelis van Vollenhovenstraat 54,1063 KT, 225.000,Makelaardij Hendriks B.V.
H Diesveldsingel 15,1060 RL, 399.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Linnaeushof 43-1 C,1098 KM, 1.095.000,Amsterdam at Home Makelaars
Gunterstein 51,1081 CH, 575.000,RE/MAX PRO
Aurikelstraat 82,1032 AW, 250.000,Makelaardij Hendriks B.V.
Bestevaerstraat 229 Huis,1055 TM, 450.000,Makelaardij Hendriks B.V.
Meerhuizenstraat 11 N,1078 TE, 475.000,Alice Bakker Makelaardij O.G.
Schollenbrugpad 72,1091 ST, 595.000,Francis Helmig makelaardij
Churchilllaan 258,1078 EZ, 650.000,HHW Makelaars
Saskia van Uijlenburgkade 117,1058 GA, 600.000,HHW Makelaars
Korte Ouderkerkerdijk 58,1096 AD, 800.000,RE/MAX PRO
Bestevaerstraat 50 H,1056 HP, 575.000,Deelen Makelaars B.V.
Da Costastraat 121 Huis,1053 ZK, 625.000,Amstelland Makelaars
Rengerskerkestraat 46,1069 HV, 350.000,Mangré makelaars
Westerdoksdijk 297 Pp,1013 AD, 495.000,Apollo Makelaardij Groot Amsterdam
Bonnefantenstraat 58,1064 PN, 375.000,Makelaardij Hendriks B.V.
Derde Oosterparkstraat 64 H +pp,1091 KA, 649.000,Hallo Makelaar B.V.
Jan van Zutphenstraat 615,1069 RS, 399.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Pandorinastraat 10,1035 VR, 300.000,Peters-de Jong makelaardij in o.z.
Oostelijke Handelskade 833,1019 BW, 600.000,Hallie & van Klooster Makelaardij
Haarlemmermeerstraat 38 Ii,1058 KA, 435.000,Van Maarschalkerwaart Makelaardij B.V.
Zijkanaal H-weg 53,1037 RS, 319.000,Hans Kok
Kloveniersburgwal 61 C,1011 JZ, 425.000,Jeanine van der Sanden Makelaardij
Keizersgracht 53 B,1015 CE, 935.000,Dstrct Amsterdam
Nieuwendammerdijk 513,1023 BR, 500.000,Peters-de Jong makelaardij in o.z.
Boerhaaveplein 14 Hs,1091 AS, 795.000,RE/MAX PRO
Langestraat 28 2,1015 AL, 535.000,Francis Helmig makelaardij
Joris van Andringastraat 29-2,1055 VW, 495.000,Francis Helmig makelaardij
Narva Eiland West-kadewoningen,na, 923.114,Niki
Doggersbankstraat 24-2,1055 PA, 275.000,Scholten Vastgoed B.V.
Waalsteeg 15,1011 ER, 475.000,Remko Bijvoet Makelaardij b.v.
Haarlemmerdijk 186,1013 JK, 1.500.000,Keizerskroon Makelaars
Baarsjesweg 193 -d,1057 HR,Prijs op aanvraag,De Compagnie Makelaardij o.z. Naarden B.V.
Pieter Calandlaan 438,1060 TT, 335.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Edward Masseystraat 24,1086 ZL, 640.000,Hallie & van Klooster Makelaardij
Van Heenvlietlaan 279 +pp,1083 DD, 500.000,Amsterdam at Home Makelaars
Govert Flinckstraat 249 Ii-v,1073 BX, 375.000,RE/MAX PRO
Marco Polostraat 279 Hs,1056 DN, 450.000,Makelaardij Hendriks B.V.
Trijn Hullemanlaan 100,1069 PV, 265.000,Makelaardij Hendriks B.V.
Admiraal de Ruijterweg 165 Iii,1056 GC, 525.000,Scholten Vastgoed B.V.
Elpermeer 206,1025 AN, 225.000,ERA Van de Steege  Amsterdam-Centrum
Leeuwendalersweg 594,1061 BH, 475.000,Amsterdam at Home Makelaars
Sinjeur Semeynsstraat 64-5,1061 GL, 259.000,Apollo Makelaardij Groot Amsterdam
Saturnusstraat 14,1033 VT, 274.011,11 Makelaars B.V.
