Zipcode,current_price,price_per_m2,times_in_sales,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,(huis)arts,tandarts,fitnesscentrum,bibliotheek,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
1091.0,425000.0, 7.203,10 dagen,Appartement,1911,59.0,213.0,,3,2,1400.0,1500.0,753.0,192.0,75.0,293.0,207.0,108.0,45.0,207.0,757.0,10.255,1.019704433497537,14.281,0.13,0.13,0.4,0.27,0.07,0.47,0.15,0.38,6.12,0.62,0.18,0.2,"1,7",0.68,0.14,0.42,0.44,17.2,0.1109
1035.0,475000.0, 3.992,3 dagen,Eengezinswoning,1936,119.0,415.0,209.0,4,3,,,,,,,,,,,,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207
1069.0,225000.0, 3.814,Nieuw,Appartement,2012,59.0,190.0,,2,1,,,,,,,,,,,,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906
,300000.0, 2.727,20 dagen,Woning,1983,110.0,370.0,130.0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072.0,400000.0, 6.897,13 dagen,Bovenwoning,1896,58.0,,72.0,2,1,1800.0,344.0,611.0,247.0,146.0,310.0,24.0,201.0,134.0,512.0,1300.0,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601
1057.0,620000.0, 5.962,12 dagen,Penthouse,2011,104.0,338.0,,4,3,,,,,,,,,,,,11.945,0.9646381578947368,22.538,0.14,0.14,0.45,0.2,0.07,0.54,0.16,0.3,6.875,0.56,0.22,0.22,"1,7",0.71,0.16,0.43,0.41,17.5,0.09
1034.0,285000.0, 3.167,21 dagen,Bovenwoning,1977,90.0,224.0,90.0,5,-,,,,,,,,,,,,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007
1067.0,300000.0, 2.857,Nieuw,Geschakelde woning,1991,105.0,,100.0,-,-,3400.0,2600.0,768.0,802.0,202.0,2900.0,1100.0,825.0,1200.0,1100.0,6400.0,2.32,0.9333333333333335,,0.15,0.15,0.22,0.36,0.12,0.53,0.12,0.35,985.0,0.28,0.31,0.41,"2,4",0.73,0.23,0.43,0.34,18.9,0.030899999999999997
1060.0,425000.0, 3.220,Nieuw,Tussenwoning,1997,132.0,420.0,134.0,5,4,4100.0,1300.0,686.0,809.0,55.0,2100.0,1200.0,747.0,333.0,489.0,6400.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997
1067.0,335000.0, 3.102,5 dagen,Hoekwoning,1991,108.0,361.0,122.0,4,3,3600.0,2500.0,773.0,659.0,148.0,2900.0,1000.0,801.0,1100.0,1000.0,6400.0,2.32,0.9333333333333335,,0.15,0.15,0.22,0.36,0.12,0.53,0.12,0.35,985.0,0.28,0.31,0.41,"2,4",0.73,0.23,0.43,0.34,18.9,0.030899999999999997
1027.0,1650000.0, 4.533,2 maanden,Woonboerderij,1992,364.0,1.245,1.3,6,5,5800.0,3800.0,1800.0,1800.0,1800.0,2700.0,1800.0,1900.0,2000.0,1700.0,4100.0,2.12,1.009478672985782,,0.19,0.09,0.21,0.36,0.16,0.88,0.09,0.03,895.0,0.29,0.32,0.39,"2,4",0.76,0.36,0.34,0.3,24.3,0.0005
1018.0,859000.0, 6.180,Nieuw,Bovenwoning,2001,139.0,406.0,,3,2,796.0,2100.0,426.0,428.0,420.0,539.0,243.0,399.0,64.0,833.0,1200.0,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901
1087.0,390000.0, 3.120,11 dagen,Eengezinswoning,2005,125.0,430.0,125.0,5,4,,,,,,,,,,,,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05
1035.0,424011.0, 3.655,6 dagen,Eengezinswoning,1990,116.0,393.0,104.0,5,4,4700.0,582.0,1100.0,257.0,195.0,1700.0,1200.0,733.0,898.0,299.0,1300.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207
1087.0,1295000.0, 6.574,1 maand,Villa,2011,197.0,588.0,895.0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
