Street,Zipcode,Price,Broker
Praterlaan 42,1098 WR,399.5,Makelaardij Hendriks B.V.
Willem Molengraaffstraat 13 Ii,1063 LJ,225,Makelaardij Hendriks B.V.
Planciusstraat 19 G 1,1013 MD,220,Your Home Makelaardij
Edward Masseystraat 24,1086 ZL,640,Hallie & van Klooster Makelaardij
Van Heenvlietlaan 279 +pp,1083 DD,500,Amsterdam at Home Makelaars
Admiraal de Ruijterweg 165 Iii,1056 GC,525,Scholten Vastgoed B.V.
Marco Polostraat 279 Hs,1056 DN,450,Makelaardij Hendriks B.V.
Singel 11 G,1012 VC,409,Hans Kok
Saturnusstraat 14,1033 VT,274.011,11 Makelaars B.V.
Leeuwendalersweg 767,1061 BK,374,+31 Vastgoed
Elpermeer 206,1025 AN,225,ERA Van de Steege  Amsterdam-Centrum
Oudezijds Voorburgwal 266 E,1012 GL,600,Makelaardij Hendriks B.V.
Graanstraat 64,1097 TD,175,Makelaardij Hendriks B.V.
Postjeskade 149 Iii,1058 DN,525,ouwehand van der meijden makelaars
Beethovenstraat 11 Iii,1077 HL, 1.250.000,Voogd Makelaardij B.V.
Nicolaas Anslijnstraat 164,1068 WZ,250,Makelaardij Hendriks B.V.
Spadinalaan 54 + 2 Pp,1031 KB,750,Makelaardij Hendriks B.V.
Jan de Jonghkade 39,1063 MH,365,Nieuw West Makelaardij Onroerende Zaken B.V.
Prinsengracht 483 C,1016 HP,795,Van Maarschalkerwaart Makelaardij B.V.
Antony Moddermanstraat 86,1063 LS,200,Makelaardij Hendriks B.V.
Cas Oorthuyskade 298,1087 DP,350,Hallie & van Klooster Makelaardij
Schellingwouderdijk 133,1023 NB,598,Peters-de Jong makelaardij in o.z.
Randwijkhof 11,1106 JX,350,Makelaardij Hendriks B.V.
G J Scheurleerweg 168,1022 KL,550,BrinkBorgh Makelaardij
Balthasar Floriszstraat 1 4,1071 TZ,595,Voogd Makelaardij B.V.
Krom Boomssloot 59 E,1011 GS,925,Thoma Post Makelaar Amsterdam
Carry Pothuis-smitstraat 23,1069 RC,299,De Huizenbemiddelaar Amsterdam 2
Rengerskerkestraat 26,1069 HV,350,Makelaardij Hendriks B.V.
Aart van der Leeuwstraat 7,1064 BT,350,Your Home Makelaardij
Amsterdam E O 0 Ong,1000    Am,68,Wijkhuizen makelaars
Wijenburg 131,1082 VR,315,Henk Burger Makelaardij og B.V.
Dierenriem 132,1033 AJ,215,de Haas Makelaars
Tweede Constantijn Huygensstraat 55 Hoog,1054 CR,950,Makelaardij De Nederlanden B.V.
Arcellastraat 14,1035 VN,299.011,11 Makelaars B.V.
Madurastraat 111 Hs,1094 GK,325,JLG Real Estate B.V.
Eastonstraat 198,1068 JG,250,Regio Makelaars
Schollenbrugpad 72 + Pp,1091 ST,595,Francis Helmig makelaardij
Frans Halsstraat 29,1072 BK,575,Amsterdam at Home Makelaars
Kiekstraat 39,1087 GK,400,Hallie & van Klooster Makelaardij
Elckerlijcstraat 9,1055 AK,385,Thoma Post Makelaar Amsterdam
Stentorstraat 87 1,1035 XE,175,ERA Van de Steege  Amsterdam-Centrum
Balboastraat 22 A,1057 VW,475,Voogd Makelaardij B.V.
Bloedstraat 17 F,1012 BS,270,Your Home Makelaardij
Singel 354,1016 AG, 1.695.000,ouwehand van der meijden makelaars
Kleine Beerstraat 11,1033 CP,270,RE/MAX PRO
Soembawastraat 48 C,1095 XC,275,Francis Helmig makelaardij
Tweede Weteringdwarsstraat 75 Huis,1017 SV,550,Chris Oosting Makelaardij
Willemsstraat 43-45,1015 HW, 2.795.000,Hoogveste B.V.
Baetostraat 4 I,1055 EP,275,Makelaardij Hendriks B.V.
Hudsonstraat 3 3,1057 RW,400,Alice Bakker Makelaardij O.G.
Brigantijnkade 38,1086 VB,650,JLG Real Estate B.V.
Van Tuyll van Serooskerkenweg 58 1,1076 JN,500,Makelaarsland
Goudsbloemstraat 165 -iii,1015 JM,650,Jaap Admiraal Makelaardij B.V.
Werkendamstraat 8,1107 KJ,215,All in Housing
Ferguutstraat 1 -iii,1055 SV,650,C. Hoen Dzn c.v.
Blasiusstraat 156 -ii,1091 CZ,300,Makelaardij De Nederlanden B.V.
Alexandrine Tinnehof 12,1087 CM,499,Hallie & van Klooster Makelaardij
Wittgensteinlaan 16,1062 KA,369,BVA Makelaardij
Westlandgracht 105 1,1058 TS,375,Makelaardij Hendriks B.V.
Lederambachtstraat 226,1069 HM,210,Collectief makelaars
Rozengracht 37 1,1016 LR,849,Van Maarschalkerwaart Makelaardij B.V.
Ridderspoorweg 149,1032 LL,300,Alice Bakker Makelaardij O.G.
Pieter van der Doesstraat 9 Iii-iv,1056 VA,650,Amsterdam at Home Makelaars
Backershagen 73,1082 GS,445,JLG Real Estate B.V.
Centavoshof 8,1060 SR,459,Barnhoorn Vermeer B.V.
Spuistraat 62 I,1012 TW,749,Huisportaal.nl
Admiraal de Ruijterweg 475 Iii,1055 MH,595,Geldhof Makelaardij o.g.
Lumeijstraat 48 1,1056 VZ,375,BrinkBorgh Makelaardij
's-gravesandestraat 8,1091 AA,395,SEM Makelaars
Nachtwachtlaan 122,1058 ED,274.011,11 Makelaars B.V.
Prinsengracht 558,1017 KK, 2.000.000,C. Hoen Dzn c.v.
Utrechtsedwarsstraat 129 D,1017 WE,500,Makelaardij Hendriks B.V.
Leeuwenwerf 82,1018 KA,500,Geldhof Makelaardij o.g.
Weteringschans 209-209 A,1017 XG, 2.495.000,Makelaarskantoor Draijer
Keizersgracht 590 C,1017 EN,990,Burger Elkerbout Makelaars en Taxateurs
Overtoom 338 4,1054 JE,325,27 Huis Makelaars BV
Warmondstraat 175 3,1058 KX,425,Amsterdam at Home Makelaars
Reinier Claeszenstraat 43 2,1056 WE,425,Scholten Vastgoed B.V.
Van Beuningenplein 5 Hs,1051 VS,500,Hallie & van Klooster Makelaardij
Sophialaan 4 Bv,1075 BR, 1.395.000,Makelaardij o.g. Willemspark
Wagenaarstraat 495,1093 CN,399,SEM Makelaars
Antillenstraat 28 Ii,1058 HB,285,Burger Elkerbout Makelaars en Taxateurs
Akersingel 9,1060 NJ,275,Makelaardij Hendriks B.V.
Diopter 120,1025 MS,450,Makelaarsland
Orteliusstraat 36 1,1057 BB,350,Makelaarsland
Smitstraat 26 3,1092 XS,375,Makelaarsland
Willemsparkweg 204 A,1071 HW, 2.250.000,Jaap Admiraal Makelaardij B.V.
