treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Lelylaan', '3,7 kilometer']","['Demarol Badhoevedrop', '1,8 kilometer']","['Oz Derya BV', '581 meter']","['Punt Openbare Basisschool De', '328 meter']","['Voorschool Punt De', '328 meter']","['Calandlyceum', '1,8 kilometer']","['De Kroon Party & Events', '546 meter']","['Filmclub Videotheek Osdorp', '948 meter']","['Gezondheidscentrum De Vaart SAG', '881 meter']","['Duman Tandarts', '36 meter']","['Friends 4 Life BV Fitnessclub', '1,2 kilometer']","['Praktizijns Sociëteit Bibliotheek', '6,3 kilometer']"
"['Amsterdam Muiderpoort', '861 meter']","['Mobil Station Zeist', '2,4 kilometer']","['Czaar Peter Supermarkt', '390 meter']","['Basisschool Oostelijke Eilanden', '266 meter']","['Small Villa Kinderopvang', '125 meter']","['LUCA Praktijkschool', '1,1 kilometer']","['Boulevard Café', '144 meter']","['Movie MAX Moviestores', '640 meter']","['Wong MeDs', '368 meter']","['Tandartsenpunt', '194 meter']","['Schaur Zumba Peter', '273 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '490 meter']"
"['Amsterdam Sloterdijk', '1,5 kilometer']","['Autorette BP Sloterplas', '818 meter']","['Keet BV Supermarkt De', '322 meter']","['Bos en Lommer Openbare Basisschool', '536 meter']","['Joriskring Heilpedagogisch Dagverblijf', '408 meter']","['ROC Op Maat West', '476 meter']","['Grand Café Fossa', '528 meter']","['Tetauni Videotheek', '921 meter']","['GH Waarneming', '510 meter']","['Stip Tandartspraktijk De', '345 meter']","['MT-Fitness', '127 meter']","['Bibliotheca Philosophica Hermetica', '3,0 kilometer']"
"['Amsterdam Muiderpoort', '1,4 kilometer']","['Total De Pijp', '1,5 kilometer']","['Spar Van Kempen', '753 meter']","['Aldoende Openbare Basisschool', '192 meter']","[""Gaia's Kids"", '75 meter']","['Metis Montessori Lyceum (AVO)', '293 meter']","['Boek Eurocafé Het', '207 meter']","['Movie MAX Moviestores', '295 meter']","['Huisartsenpraktijk Camper', '108 meter']","['TandartsThomas90', '45 meter']","['Care4Fit intermediair in bedrijfsfitness', '207 meter']","['Theosofische Bibliotheek', '757 meter']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam RAI', '1,8 kilometer']","['Hobbemakade Shell Station', '344 meter']","['Superstar Market', '611 meter']","['KunstKrul', '247 meter']","['KDV Femina Muller', '146 meter']","['Montessori Lyceum Amsterdam (mavo)', '310 meter']","[""Carla's Trefpunt"", '24 meter']","['Filmclub Cinemagic', '302 meter']","['SPS Dokter', '201 meter']","['Zwan W vd', '134 meter']","['Your Future Fitness Center', '512 meter']","['Theosofische Bibliotheek', '1,3 kilometer']"
"['Amsterdam Centraal', '5,8 kilometer']","['Total Selfservicestation Kadoelen', '3,8 kilometer']","['Deka Supermarkt', '1,8 kilometer']","['Piramide Openbare Basisschool De', '1,8 kilometer']","['Gastouderopvang Sammies lachebekkies', '1,8 kilometer']","['Bredero Mavo', '2,7 kilometer']","['Eetcafé Hoever', '1,8 kilometer']","['Eurocorner', '5,2 kilometer']","['Medisch Centrum Spelderholt', '1,9 kilometer']","['Zainab Ait Omar', '2,0 kilometer']","['Cardio Candy', '1,7 kilometer']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '4,1 kilometer']"
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '3,6 kilometer']","['Demarol Zwanenburg BV', '2,5 kilometer']","['Sefa Market', '773 meter']","['Goeman Borgesiusschool', '659 meter']","['Caroline Drisdale', '148 meter']","['Wissel De', '2,9 kilometer']","[""Sanny's Place Café"", '1,0 kilometer']","['Filmclub Videotheek Zwanenburg', '2,7 kilometer']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '801 meter']","['Tandartsenpraktijk Fallah', '1,1 kilometer']","[""Doel Lady's Only Fitnesscentrum Het"", '1,0 kilometer']","['Bibliotheca Philosophica Hermetica', '6,4 kilometer']"
"['Amsterdam Sloterdijk', '3,4 kilometer']","['Total Selfservicestation Vlughtlaan', '2,6 kilometer']","['Sefa Market', '768 meter']","['Goeman Borgesiusschool', '802 meter']","['Caroline Drisdale', '202 meter']","['Wissel De', '2,9 kilometer']","[""Sanny's Place Café"", '1,1 kilometer']","['Filmclub Videotheek Zwanenburg', '2,7 kilometer']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '825 meter']","['Tandartsenpraktijk Fallah', '1,2 kilometer']","[""Doel Lady's Only Fitnesscentrum Het"", '1,1 kilometer']","['Bibliotheca Philosophica Hermetica', '6,4 kilometer']"
"['Amsterdam Lelylaan', '1,6 kilometer']","['Autorette BP Sloterplas', '225 meter']","['Keet BV Supermarkt De', '663 meter']","['Japanese School of Amsterdam The', '632 meter']","['Blije Bij Kinderopvang De', '324 meter']","['Nova College Amsterdam', '121 meter']","['Café De Zevende Hemel Amsterdam', '730 meter']","['Tetauni Videotheek', '1,3 kilometer']","['GH Waarneming', '239 meter']","['Tandarts Weggelaar', '301 meter']","['MT-Fitness', '779 meter']","['Bibliotheca Philosophica Hermetica', '3,6 kilometer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '5,0 kilometer']","['BP Kadoelen', '1,4 kilometer']","['Van der Velde & Eveleens VOF', '517 meter']","['Krijtmolen Openbare Basisschool De', '351 meter']","['Shirly4Kids', '219 meter']","['Praktijkcollege Noord', '914 meter']","['Ruif Café De', '1,7 kilometer']","['Eurocorner', '1,1 kilometer']","['Huisartsenpraktijk Molenwijk', '559 meter']","['Emami-Fard tandarts H', '1,0 kilometer']","['Play-Fit', '929 meter']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '1,8 kilometer']"
