treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Centraal', '2,2 kilometer']","['Texaco Bem BV Selfservice', '542 meter']","['British General Stores', '239 meter']","['Bredeschool Kinkerbuurt De', '670 meter']","[""Sisi's Little Stars"", '194 meter']","['Barlaeusgymnasium', '671 meter']","['Café Toussaint B.V.', '80 meter']","['Asian Music Palace', '955 meter']","['Bossen Huisartsenpraktijk P C', '111 meter']","['Franssen Tandarts C M E E', '175 meter']","['Amsterdam Fitness en Health Club', '353 meter']","['Boekmanstichting Bibliotheek', '849 meter']"
"['Amsterdam Lelylaan', '1,7 kilometer']","['BP Commandeur', '346 meter']","['Albert Heijn Supermarkt', '122 meter']","['Geert Groote School 1 Vrije School voor Basisonderwijs', '668 meter']","['Kinderdagverblijf Klein & Co BV', '259 meter']","['Winford Amsterdam', '452 meter']","['Bedier Café', '73 meter']","['Lucky Star Videotheek', '155 meter']","['GP Locun', '81 meter']","['Kraan Tandarts', '217 meter']","['IFit Health Station', '210 meter']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,8 kilometer']","['BP Commandeur', '1,1 kilometer']","['Jumbo Supermarkten BV', '318 meter']","['ABC Het', '467 meter']","['Nanny Roksana', '92 meter']","['ABC Het', '467 meter']","['Overtoom Café', '96 meter']","['Filmclub Videotheek Overtoom', '215 meter']","['Tot Z(Org) Van A', '326 meter']","['E.A.S. Tandarts', '130 meter']","['Brightside Fitness & Fysiotherapie', '273 meter']","['Boekmanstichting Bibliotheek', '2,1 kilometer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,4 kilometer']","['Texaco Bem BV Selfservice', '729 meter']","['Roos Market', '387 meter']","['Basisschool St Aloysius', '177 meter']","['The Zoo BSO', '104 meter']","['Cartesius Lyceum', '399 meter']","['Café De Nieuwe Lelie', '101 meter']","['Platebank BV', '796 meter']","['Cambridge Medical GP Physician Medical Doctor', '172 meter']","['Tandarts L E C A M', '30 meter']","['Fitness Centrum Leidsegracht BV', '178 meter']","['Bibliotheca Philosophica Hermetica', '237 meter']"
"['Amsterdam Lelylaan', '1,8 kilometer']","['BP Commandeur', '1,1 kilometer']","['Jumbo Supermarkten BV', '316 meter']","['Amsterdam West Binnen De Ring', '458 meter']","['Nanny Roksana', '100 meter']","['ABC Het', '458 meter']","['Overtoom Café', '99 meter']","['Filmclub Videotheek Overtoom', '216 meter']","['Tot Z(Org) Van A', '322 meter']","['E.A.S. Tandarts', '132 meter']","['Brightside Fitness & Fysiotherapie', '269 meter']","['Boekmanstichting Bibliotheek', '2,1 kilometer']"
"['Amsterdam Lelylaan', '3,3 kilometer']","['Demarol Badhoevedrop', '977 meter']","['Oz Derya BV', '440 meter']","['Horizon Openbare Dalton Basisschool De', '110 meter']","['Peuterspeelzaal Boris Beer', '354 meter']","['Calandlyceum', '1,3 kilometer']","[""Louman's Hoekje Café"", '901 meter']","['Filmclub Videotheek Osdorp', '104 meter']","['Gezondheidscentrum De Vaart SAG', '152 meter']","['Muradin Eric M F Tandarts', '170 meter']","['Friends 4 Life BV Fitnessclub', '1,2 kilometer']","['Praktizijns Sociëteit Bibliotheek', '5,6 kilometer']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,9 kilometer']","['Tankstation Baarsjes West', '840 meter']","['Imazigen Slager', '310 meter']","['Visserschool Dr J Th de', '206 meter']","['Gastouderopvang Spelend Wijs', '98 meter']","['ABC Het', '351 meter']","['Farid', '144 meter']","['Asian Music Palace', '305 meter']","['Integrale Huisartsenpraktijk West', '136 meter']","['Sowirono Tandartspraktijk C E R', '443 meter']","['Family Gym The', '296 meter']","['Bibliotheca Philosophica Hermetica', '1,9 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam RAI', '1,4 kilometer']","['Europaboulevard Shell Station', '565 meter']","[""David's Corner"", '250 meter']","['Buitenveldertse Montessorischool (BMS)', '212 meter']","[""Granny's Daycare"", '771 meter']","['Joods Bijzonder Onderwijs Stichting JBO', '368 meter']","['Saigon Café Gelderlandplein', '745 meter']","['Filmclub Buitenveldert', '1,1 kilometer']","['Blom Huisarts', '218 meter']","['Maragkos Dent', '138 meter']","['VU Sportcentrum', '904 meter']","['Praktizijns Sociëteit Bibliotheek', '1,9 kilometer']"
,,,,,,,,,,,
"['Amsterdam Amstel', '1,4 kilometer']","['Total De Pijp', '668 meter']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '166 meter']","['Avonturijn De', '211 meter']","['Anna Verduin', '42 meter']","['IVKO School', '287 meter']","['Juicebrothers Van Woustraat', '136 meter']","['Jumbo Videotheken', '42 meter']","['Huisartsenpraktijk de Pijp', '115 meter']","['Klusener M S', '177 meter']","['Your Future Fitness Center', '467 meter']","['Theosofische Bibliotheek', '314 meter']"
"['Amsterdam Lelylaan', '2,0 kilometer']","['BP Commandeur', '1,3 kilometer']","['Jumbo Supermarkten BV', '555 meter']","['Amsterdam West Binnen De Ring', '425 meter']","['Tamara Kinderopvang', '117 meter']","['ABC Het', '425 meter']","['Parck', '80 meter']","['Asian Music Palace', '455 meter']","['Wijngaarden Huisartsenpraktijk D van', '306 meter']","['Bakker Dental', '68 meter']","['Family Gym The', '431 meter']","['Boekmanstichting Bibliotheek', '1,8 kilometer']"
"['Amsterdam Centraal', '1,8 kilometer']","['Esso Station FCA', '1,2 kilometer']","['Bijkerk De Zuivelshop J', '140 meter']","['Westerparkschool', '106 meter']","['Kinderdagverblijf Vipkids', '93 meter']","['Maria Nguyen', '357 meter']","['Shaquille Café', '61 meter']","['Videoplaza/Video International', '170 meter']","['Bevers Huisartsenpraktijk', '78 meter']","['Parodontologie en Implantologie Praktijk Amsterdam', '49 meter']","['Selsa', '536 meter']","['Bibliotheca Philosophica Hermetica', '1,3 kilometer']"
"['Amsterdam Lelylaan', '1,7 kilometer']","['BP Oude Haagseweg', '929 meter']","['Golden Vandaag BV', '1,1 kilometer']","['Jenaplan Basisschool De Zevensprong', '587 meter']","['Ramona Kinderopvang', '467 meter']","['Tobiasschool', '1,5 kilometer']","['Rooseboom Café De', '1,1 kilometer']","['Sloterplas Cinema Super Videotheek De', '1,4 kilometer']","['Kate P J ten en Liefeld M L', '805 meter']","['Tand Li', '108 meter']","['Slender You Nieuw Sloten', '971 meter']","['Praktizijns Sociëteit Bibliotheek', '2,8 kilometer']"
,,,,,,,,,,,
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Mobil Station Zeist', '1,3 kilometer']","['Ennassr Superette', '969 meter']","['Watergraafsmeer 5e Montessorischool', '280 meter']","['Bee Bee Kinderdagverblijf', '222 meter']","['Onderwijsstichting Esprit', '343 meter']","[""Elsa's Eetcafé"", '695 meter']","['Movie MAX Moviestores', '1,2 kilometer']","['Swart Huisartsenpraktijk', '199 meter']","['Tandarts Ohyon', '31 meter']","['Ultimate Fitness Amsterdam', '409 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '1,7 kilometer']"
"['Amsterdam Lelylaan', '2,4 kilometer']","['Texaco Bem BV Selfservice', '1,1 kilometer']","['British General Stores', '443 meter']","['Bredeschool Kinkerbuurt De', '439 meter']","['Vondelkids', '32 meter']","['ABC Het', '759 meter']","['Lacroix A', '18 meter']","['Asian Music Palace', '634 meter']","['Gezondheidscentrum Helmersstraat SAG', '152 meter']","['Tandarts van Leeuwen', '112 meter']","['Body Desk Fit-Center', '613 meter']","['Boekmanstichting Bibliotheek', '1,4 kilometer']"
"['Amsterdam Sloterdijk', '549 meter']","['Tankstation Haris BV', '240 meter']","[""Ah op 't Station"", '535 meter']","['Slootermeer Openbare Basisschool', '374 meter']","['Gastouderbureau Mijn Gastouderopvang', '121 meter']","['Wissel De', '954 meter']","['Orkide Café', '552 meter']","['Tetauni Videotheek', '1,8 kilometer']","['Stichting Amsterdamse Gezondheidscentra', '540 meter']","['Orthocenter Amsterdam West', '64 meter']","['Gym de Benjamin', '206 meter']","['Bibliotheca Philosophica Hermetica', '3,3 kilometer']"
"['Amsterdam RAI', '1,2 kilometer']","['Total De Pijp', '218 meter']","['Albert Heijn', '430 meter']","['Donge Openbare Basisschool', '196 meter']","['Curious Kids BV Hoofdkantoor', '208 meter']","['Berlage Lyceum', '414 meter']","['Klasen Café', '166 meter']","['Filmclub Videotheek Cinemagic', '512 meter']","['Prins en Tan Huisartspraktijk', '263 meter']","['Becht Tandarts E J', '30 meter']","['Kenpo Karate Academy', '286 meter']","['Theosofische Bibliotheek', '993 meter']"
"['Diemen', '2,2 kilometer']","['Shell Station Kriterion', '2,5 kilometer']","['Multi Tokorien IJburg', '648 meter']","['Willibrord Kath Basisschool voor Ontwikkelingsgericht Onderwijs', '213 meter']","['Blij-Land Kinderdagverblijf', '211 meter']","['LUCA Praktijkschool', '3,7 kilometer']","['Café Blond B.V.', '1,6 kilometer']","['Movie MAX Moviestores', '4,0 kilometer']","['DokterDennis', '208 meter']","['Confidental Tandartsen', '206 meter']","['Fitness Center IJburg BV', '262 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '4,2 kilometer']"
"['Amsterdam Centraal', '4,3 kilometer']","['Total Selfservicestation Kadoelen', '1,1 kilometer']","['Van der Velde & Eveleens VOF', '544 meter']","['Satelliet Basisschool De', '336 meter']","['GO Speels', '172 meter']","['Praktijkcollege Noord', '1,2 kilometer']","['Kadoelen Café Koffiehuis', '1,1 kilometer']","['Eurocorner', '586 meter']","['Huisartsenpraktijk Molenwijk', '253 meter']","['Govers M biologisch tandarts', '739 meter']","['Play-Fit', '928 meter']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '1,9 kilometer']"
"['Amsterdam Centraal', '1,2 kilometer']","['Esso Station FCA', '1,1 kilometer']","['Bario Markt', '323 meter']","['Thijssen Dependance Openbare Basisschool Theo', '220 meter']","['Jor en Daan Kinderdagverblijf IJsterk', '164 meter']","['Cartesius Lyceum', '540 meter']","['Kat in de Wijngaert Café-Bar De', '137 meter']","['Videoplaza/Video International', '566 meter']","['Lith R F', '176 meter']","['Tandarts A.E. Mulders', '115 meter']","['Fitness Centrum Leidsegracht BV', '624 meter']","['Bibliotheca Philosophica Hermetica', '685 meter']"
"['Amsterdam Centraal', '1,7 kilometer']","['Esso Station FCA', '660 meter']","['Bario Markt', '374 meter']","['Bron Rooms Katholieke Basisschool De', '302 meter']","['Pomydo Kinderdagverblijf', '71 meter']","['Cartesius Lyceum', '201 meter']","['Café Sting The', '356 meter']","['Platebank BV', '271 meter']","['MB Waarnemingen', '139 meter']","['Caraballo', '232 meter']","['Fitness Centrum Leidsegracht BV', '514 meter']","['Bibliotheca Philosophica Hermetica', '769 meter']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,8 kilometer']","['Esso Station FCA', '950 meter']","['Bijkerk De Zuivelshop J', '183 meter']","['Bron Rooms Katholieke Basisschool De', '112 meter']","['NSO Dyesro', '89 meter']","['Maria Nguyen', '302 meter']","[""C'est La Vie Café"", '46 meter']","['Videoplaza/Video International', '104 meter']","['Bevers Huisartsenpraktijk', '158 meter']","['Parodontologie en Implantologie Praktijk Amsterdam', '219 meter']","['Selsa', '761 meter']","['Bibliotheca Philosophica Hermetica', '1,1 kilometer']"
"['Amsterdam Centraal', '3,9 kilometer']","['Driesprong Brandstoffen Exploitatie BV', '839 meter']","['Avondwinkel Oosterpark', '640 meter']","['Poolster Openbare Basisschool De', '190 meter']","['Kinderplaneet BSO VSO', '252 meter']","['Praktijkcollege Noord', '1,0 kilometer']","['Kadoelen Café Koffiehuis', '1,5 kilometer']","['Eurocorner', '341 meter']","['Antarus Huisartsenpraktijk', '120 meter']","['Schröder Tandartsenpraktijk Reinier', '133 meter']","['Play-Fit', '1,8 kilometer']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,8 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,3 kilometer']","['Texaco Bem BV Selfservice', '920 meter']","['Imazigen Slager', '368 meter']","['Vlinderboom De', '123 meter']","['Tuimelaar Kinderdagverblijf', '131 meter']","['ABC Het', '587 meter']","['Topido', '189 meter']","['Asian Music Palace', '358 meter']","['Kuynders H M', '289 meter']","['Gijs Franssen Tandarts', '351 meter']","['Family Gym The', '461 meter']","['Bibliotheca Philosophica Hermetica', '1,5 kilometer']"
"['Amsterdam Centraal', '1,2 kilometer']","['Texaco Bem BV Selfservice', '757 meter']","['Pinguin Avond- & Dagsupermarkt De', '273 meter']","['Jordaan 14e Montessorischool', '468 meter']","['They Care-Nanny Solutions', '83 meter']","['Nieuwe School Stichting De', '75 meter']","['Softland Coffeeshop', '109 meter']","['Weng Joeng Hong', '972 meter']","['Huisarts aan de Herengracht', '181 meter']","['HQ Medical Travel', '124 meter']","['PCH Fitness', '349 meter']","['Boekmanstichting Bibliotheek', '415 meter']"
"['Amsterdam Sloterdijk', '956 meter']","['Tankstation Haris BV', '1,0 kilometer']","['Supermarkt Wiltzanghlaan', '186 meter']","['Narcis-Queridoschool', '57 meter']","['PVO Boomgaard De', '93 meter']","['ROC Op Maat West', '1,1 kilometer']","['Admiraaltje', '149 meter']","['Tetauni Videotheek', '1,5 kilometer']","['Sana', '244 meter']","['Katima Legemate', '233 meter']","['Keijser Fitness De', '215 meter']","['Bibliotheca Philosophica Hermetica', '2,5 kilometer']"
"['Amsterdam Muiderpoort', '4,0 kilometer']","['Shell Station Kriterion', '3,0 kilometer']","['Bizim Ufuk Supermarket en Bakkerij (A.I.)', '149 meter']","['Brede School Mgr Bekkers (katholiek)', '299 meter']","[""Boeba's Bengeltjes"", '156 meter']","['Clusius College', '1,9 kilometer']","['Foeders', '549 meter']","['Movie Max Goldmovie Videotheek', '3,6 kilometer']","['Jonker en Koetsier Huisartsenpraktijk', '66 meter']","['Tandartspraktijk Quintero', '11 meter']","['Temple Fitness World The', '145 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '3,0 kilometer']"
"['Amsterdam Zuid', '1,7 kilometer']","['Hobbemakade Shell Station', '1,1 kilometer']","['Organic Food For You', '117 meter']","['2e Dalton Basisschool', '309 meter']","['Bengeltjes NV', '87 meter']","['Joke Smit College Vavo (ROC Van Amsterdam)', '390 meter']","['King Arthur', '46 meter']","['Lucky Star Videotheek', '1,1 kilometer']","['Korthals Altes-Levy H R', '255 meter']","['Schaper L E', '171 meter']","['Personal Healthclub', '287 meter']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '943 meter']","['Texaco Bem BV Selfservice', '2,0 kilometer']","['China Town Supermarkt', '521 meter']","['Witte Olifant Openbare Basisschool De', '187 meter']","['Lovely Kids BV', '133 meter']","['Amsterdamsche School De', '1,1 kilometer']","['Café Waterlooplein 77', '283 meter']","['Weng Joeng Hong', '576 meter']","['Bruijne C de', '496 meter']","['M. El Jurdi', '198 meter']","['Fit For Free Amsterdam', '124 meter']","['Toonkunst-Bibliotheek', '536 meter']"
"['Amsterdam Sloterdijk', '1,5 kilometer']","['Zwarte Pomp BV', '572 meter']","['JRV tropical food', '109 meter']","['ISL Basisschool Al Wafa Dependance', '73 meter']","['Bromtol Kinderdagverblijf De', '73 meter']","['ROC Op Maat', '445 meter']","['Grand Café Fossa', '174 meter']","['Tetauni Videotheek', '780 meter']","['Puts - Kozlewicz huisarts K A', '100 meter']","['Kabboue M', '86 meter']","['Health Code The', '447 meter']","['Bibliotheca Philosophica Hermetica', '2,3 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Zuid', '1,9 kilometer']","['Hobbemakade Shell Station', '529 meter']","['Superstar Market', '619 meter']","['KunstKrul', '523 meter']","['KDV De Hoogvlieger', '131 meter']","['Montessori Lyceum Amsterdam (mavo)', '127 meter']","['Loetje Café', '33 meter']","['Filmclub Cinemagic', '585 meter']","['SPS Dokter', '104 meter']","['Tandartspraktijk Zuidas', '170 meter']","['Urban Wellness Concepts BV', '553 meter']","['Theosofische Bibliotheek', '1,5 kilometer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '2,5 kilometer']","['Texaco Bem BV Selfservice', '689 meter']","['De Volkskruidentuin', '303 meter']","['Binnen De Ring Amsterdam West', '242 meter']","['Kikkert BSO', '46 meter']","['Marcanti College', '743 meter']","['Kwaker Café De', '110 meter']","['Super Videotheek De Sloterplas', '575 meter']","['Kuynders H M', '88 meter']","['Tandartspraktijk De Clercqstraat', '164 meter']","['Pilatesworks', '509 meter']","['Bibliotheca Philosophica Hermetica', '1,2 kilometer']"
"['Amsterdam RAI', '869 meter']","['Douwes & Van der Sluis BV', '411 meter']","['Albert Heijn', '59 meter']","['6e Montessorischool Anne Frank', '155 meter']","['Pukkie', '95 meter']","['Luzac Lyceum Amsterdam', '283 meter']","['Klasen Café', '213 meter']","['Filmclub Videotheek Cinemagic', '886 meter']","['Huob', '321 meter']","['Tandarts A M de Groot', '194 meter']","['Kenpo Karate Academy', '663 meter']","['Theosofische Bibliotheek', '1,2 kilometer']"
"['Amsterdam Amstel', '1,7 kilometer']","['Total De Pijp', '1,2 kilometer']","['Spar Van Kempen', '603 meter']","['ASVO School', '234 meter']","['Hoepel BSO De', '333 meter']","['IVKO School', '606 meter']","['Wou Café Van', '321 meter']","[""Ram's Filmclub"", '436 meter']","['Uitkijk', '365 meter']","['Tandartspraktijk Kolstee D H', '191 meter']","['SODA Bodyfit', '436 meter']","['Theosofische Bibliotheek', '734 meter']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,8 kilometer']","['Texaco Bem BV Selfservice', '279 meter']","['Casa Brazil Portugal', '303 meter']","['Jordaan 14e Montessorischool', '287 meter']","['Tante Beest', '184 meter']","['Samenwerkingsverband 28 2', '339 meter']","['Chaos Café', '19 meter']","['Asian Music Palace', '1,3 kilometer']","['Huisartsenpraktijk Eijkeren H van en Heusden K van', '279 meter']","['Monique Broeren tandarts', '59 meter']","['Splash Healthclubs Amsterdam', '182 meter']","['Boekmanstichting Bibliotheek', '541 meter']"
"['Amsterdam Lelylaan', '1,5 kilometer']","['Tankstation Baarsjes West', '504 meter']","['Nevsehir Supermarkt', '193 meter']","['Visserschool Dr J Th de', '323 meter']","['Heemhuys aan het Rembrandtpark', '151 meter']","['ABC Het', '695 meter']","['Ikram Café Bar', '147 meter']","['Tetauni Videotheek', '317 meter']","['Kolenberg Huisartsenpraktijk', '265 meter']","['Sowirono Tandartspraktijk C E R', '365 meter']","['Sportplaza Mercator', '605 meter']","['Bibliotheca Philosophica Hermetica', '2,3 kilometer']"
"['Amsterdam Lelylaan', '1,3 kilometer']","['Texaco Benzinestation Osdorp', '419 meter']","['Nieuw Osdorp Market', '666 meter']","['Daltononderwijs Louis Bouwmeester', '413 meter']","['Tuuf Catalpa Kindercentrum De', '326 meter']","['Calandlyceum', '760 meter']","['Osdorp Café', '444 meter']","['Sloterplas Cinema Super Videotheek De', '776 meter']","['Umans-Mohan V I', '223 meter']","['Gebitsvoorziening De', '377 meter']","['Calandfit', '657 meter']","['Praktizijns Sociëteit Bibliotheek', '4,0 kilometer']"
"['Amsterdam Centraal', '1,4 kilometer']","['Texaco Bem BV Selfservice', '683 meter']","['Roos Market', '341 meter']","['Basisschool St Aloysius', '236 meter']","['The Zoo BSO', '144 meter']","['Cartesius Lyceum', '447 meter']","['Café De Nieuwe Lelie', '40 meter']","['Platebank BV', '855 meter']","['Cambridge Medical GP Physician Medical Doctor', '125 meter']","['Tandarts L E C A M', '42 meter']","['Fitness Centrum Leidsegracht BV', '183 meter']","['Bibliotheca Philosophica Hermetica', '177 meter']"
"['Amsterdam Lelylaan', '715 meter']","['Shell Station Postjesweg', '622 meter']","['Mina Supermarkt', '529 meter']","['7e Montessori', '55 meter']","['Mum away from mum', '307 meter']","['ABC Het', '1,1 kilometer']","['August Allebé Café-Bar', '454 meter']","['Filmclub Videotheek Overtoom', '983 meter']","['Linde J vd', '182 meter']","['Tjin Tandartspraktijk Drs S M T W K', '193 meter']","['Fitness Centre Palestra', '425 meter']","['Praktizijns Sociëteit Bibliotheek', '2,8 kilometer']"
"['Amsterdam Lelylaan', '1,9 kilometer']","['Texaco Benzinestation Osdorp', '899 meter']","['Supermarkt Karadeniz', '1,2 kilometer']","['Mijlpaal Katholieke Basisschool De', '273 meter']","['Groeiland Het Kinderdagverblijf', '119 meter']","['Calandlyceum', '806 meter']","[""Calandje Café 't"", '772 meter']","['Sloterplas Cinema Super Videotheek De', '1,5 kilometer']","['Gezondheidscentrum Vlaanderen SAG', '219 meter']","['Lawtist', '187 meter']","['Slender You Nieuw Sloten', '308 meter']","['Praktizijns Sociëteit Bibliotheek', '3,9 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '2,4 kilometer']","['Texaco Bem BV Selfservice', '879 meter']","['British General Stores', '127 meter']","['Cornelis Vrijschool', '370 meter']","['Klavertje 4 Kinderdagverblijf', '115 meter']","['Barlaeusgymnasium', '559 meter']","['Vertigo Kantoor Café', '166 meter']","['Asian Music Palace', '1,0 kilometer']","['Bossen Huisartsenpraktijk P C', '238 meter']","['J.C.F. Parodontoloog', '121 meter']","['Amsterdam Fitness en Health Club', '271 meter']","['Boekmanstichting Bibliotheek', '981 meter']"
"['Amsterdam Centraal', '1,4 kilometer']","['Texaco Bem BV Selfservice', '1,7 kilometer']","['Amstelicious', '125 meter']","['Hulpjuf.nl', '137 meter']","['Baboffel Kinderdagverblijf', '267 meter']","['Luzac College Amsterdam', '710 meter']","['Menschen Café', '38 meter']","['Weng Joeng Hong', '982 meter']","['Huisartsenpraktijk Zwanenburgwal', '292 meter']","['Hoonhout Tandarts Chris', '196 meter']","['Fitness First Nederland BV', '63 meter']","['Zeemanshoop Koninklijk College', '501 meter']"
"['Amsterdam Muiderpoort', '783 meter']","['Mobil Station Zeist', '910 meter']","['Cappadocia', '244 meter']","['Lafayette School Particuliere Basisschool', '298 meter']","['Wikkeling', '182 meter']","['Montessori College Oost', '438 meter']","['Makam Café', '28 meter']","['Movie MAX Moviestores', '637 meter']","['JH Waarneming', '131 meter']","['By R R de', '36 meter']","['Only 4 Ladies', '611 meter']","['Theosofische Bibliotheek', '1,3 kilometer']"
"['Amsterdam Zuid', '1,7 kilometer']","['Hobbemakade Shell Station', '1,1 kilometer']","['Organic Food For You', '127 meter']","['2e Dalton Basisschool', '297 meter']","['Bengeltjes NV', '12 meter']","['Joke Smit College Vavo (ROC Van Amsterdam)', '472 meter']","['King Arthur', '135 meter']","['Lucky Star Videotheek', '979 meter']","['Korthals Altes-Levy H R', '215 meter']","['Determann Tandarts Bastiaan', '145 meter']","['Personal Healthclub', '333 meter']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer']"
,,,,,,,,,,,
"['Amsterdam Muiderpoort', '478 meter']","['Mobil Station Zeist', '1,8 kilometer']","['Ennassr Superette', '99 meter']","['Waaier Basisschool De', '178 meter']","['Tibetaantjes Kinderdagverblijf', '70 meter']","['LUCA Praktijkschool', '436 meter']","['Badhuis Café Restaurant Het', '184 meter']","['Movie MAX Moviestores', '229 meter']","['Staal Huisarts M', '131 meter']","['Tiago Tandarts', '249 meter']","['Akademia Training', '203 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '737 meter']"
"['Amsterdam Amstel', '462 meter']","['Slagboom BV', '933 meter']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '754 meter']","['RT Praktijk Hanneke de Boer Amsterdam', '311 meter']","['Marsepeintje Kinderdagverblijf Het', '246 meter']","['Stelle College', '197 meter']","['Hesp Café & Restaurant', '50 meter']","['Videoland', '769 meter']","['Vrijheidslaan Huisartsen Praktijk', '330 meter']","['Tandartspraktijk Weesperzijde', '367 meter']","['Kops Sportcentrum', '155 meter']","['Theosofische Bibliotheek', '604 meter']"
"['Amsterdam Centraal', '671 meter']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['City Public Supermarkt & Souvenirs', '80 meter']","['Burght Openbare Basisschool', '432 meter']","['Montris 30 BV', '78 meter']","['Amsterdamsche School De', '200 meter']","['Pilserij Café De', '29 meter']","['Weng Joeng Hong', '573 meter']","['Robbers A R & Zwiers R A J Huisartsen', '242 meter']","['PR Dental', '142 meter']","['PCH Fitness', '171 meter']","['Bibliotheca Philosophica Hermetica', '692 meter']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '3,5 kilometer']","['Demarol Badhoevedrop', '949 meter']","['Oz Derya BV', '379 meter']","['Horizon Openbare Dalton Basisschool De', '306 meter']","['Rozemarijntje Kinderopvang', '580 meter']","['Calandlyceum', '1,6 kilometer']","[""Louman's Hoekje Café"", '998 meter']","['Filmclub Videotheek Osdorp', '135 meter']","['Gezondheidscentrum De Vaart SAG', '142 meter']","['Muradin Eric M F Tandarts', '355 meter']","['Friends 4 Life BV Fitnessclub', '1,0 kilometer']","['Praktizijns Sociëteit Bibliotheek', '5,8 kilometer']"
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Mobil Station Zeist', '2,6 kilometer']","['Czaar Peter Supermarkt', '369 meter']","['Basisschool Oostelijke Eilanden', '311 meter']","['Small Villa Kinderopvang', '175 meter']","['Taalbureau Buijtendorp', '906 meter']","['Boulevard Café', '391 meter']","['Movie Max Goldmovie Videotheek', '903 meter']","['Gezondheidscentrum De Keyzer SAG', '401 meter']","['Czaar Peter Tandzorg', '176 meter']","['Schaur Zumba Peter', '38 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '676 meter']"
"['Amsterdam Lelylaan', '1,3 kilometer']","['BP Commandeur', '469 meter']","['Markt Günes A', '353 meter']","['Notenkraker Openbare Basisschool De', '406 meter']","['Kinderdagverblijf Jurrina', '69 meter']","['Tobiasschool', '402 meter']","['Wit en De Wit Restaurant De', '323 meter']","['Lucky Star Videotheek', '377 meter']","['Evenhuis Drs F W J', '235 meter']","['Tandenpraktijk De', '139 meter']","['IFit Health Station', '338 meter']","['Praktizijns Sociëteit Bibliotheek', '1,8 kilometer']"
,,,,,,,,,,,
"['Amsterdam Amstel', '1,5 kilometer']","['Total De Pijp', '1,0 kilometer']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '464 meter']","['Basisschool De Springstok', '129 meter']","['Hoepel BSO De', '129 meter']","['IVKO School', '326 meter']","['Bloemers Drink- en Eetcafé', '114 meter']","[""Ram's Filmclub"", '206 meter']","['Fesoca', '104 meter']","['Heijboer Tandarts A S', '53 meter']","['SODA Bodyfit', '656 meter']","['Theosofische Bibliotheek', '454 meter']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,1 kilometer']","['Tankstation Baarsjes West', '683 meter']","['Imazigen Slager', '42 meter']","['Stichting Islamitische School Amsterdam', '148 meter']","['Fantasieland', '60 meter']","['ABC Het', '670 meter']","[""Bruggetje Café 't"", '84 meter']","['Naseeb Videotheek', '226 meter']","['LSL Waarneming', '138 meter']","['Tandartspraktijk Palladino', '293 meter']","['Mij. Kamala', '436 meter']","['Bibliotheca Philosophica Hermetica', '1,7 kilometer']"
