Street,Zipcode,Price,Broker
Keizersgracht 590 C,1017 EN, 990.000,Burger Elkerbout Makelaars en Taxateurs
Smitstraat 26 3,1092 XS, 375.000,Makelaarsland
Sophialaan 4 Bv,1075 BR, 1.395.000,Makelaardij o.g. Willemspark
Wagenaarstraat 495,1093 CN, 399.000,SEM Makelaars
Diopter 120,1025 MS, 450.000,Makelaarsland
Akersingel 9,1060 NJ, 275.000,Makelaardij Hendriks B.V.
Orteliusstraat 36 1,1057 BB, 350.000,Makelaarsland
Antillenstraat 28 Ii,1058 HB, 285.000,Burger Elkerbout Makelaars en Taxateurs
Ijplein 232,1021 LR, 325.000,RE/MAX PRO
Blankenstraat 187 F,1018 RZ, 495.000,Isaak Makelaardij o.g. B.V.
Sarphatistraat 141 B,1018 GD, 533.000,Thoma Post Makelaar Amsterdam
Jean Desmetstraat 52,1087 DR, 325.000,ERA Van de Steege  Amsterdam-Centrum
Banstraat 50 Ii,1071 KB, 1.585.000,BrinkBorgh Makelaardij
Osdorper Ban 987 +pp,1069 GA, 265.000,RE/MAX PRO
Spadinalaan 33,1031 KB, 515.000,Hallie & van Klooster Makelaardij
Willemsparkweg 204 A,1071 HW, 2.250.000,Jaap Admiraal Makelaardij B.V.
Bernissestraat 14 D,1079 ZW, 749.000,Makelaarsland
Hertspieghelweg 74-hs,1055 KS, 325.000,Scholten Vastgoed B.V.
Keizersgracht 365 K,1016 EJ, 875.000,Dstrct Amsterdam
Commelinstraat 468,1093 VD, 315.000,RE/MAX PRO
Baden Powellweg 85,1069 LC, 249.000,+31 Vastgoed
Emmastraat 22,1075 HV, 4.450.000,Van Maarschalkerwaart Makelaardij B.V.
Ruimzicht 68,1068 CN, 175.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Loenermark 199,1025 ST, 225.000,Makelaardij Hendriks B.V.
Brouwersgracht 105 3,1015 GD, 595.000,Hard To Get B.V.
Amstelveenseweg 611 A + Pp,1081 JD, 495.000,Thoma Post Makelaar Amsterdam
Admiralengracht 271 -iii,1056 DZ, 325.000,Makelaardij Hendriks B.V.
Jan Evertsenstraat 629,1061 XZ, 385.000,Your Home Makelaardij
Veldzicht 63 + Pp,1068 SM, 235.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Prinsengracht 145 B,1015 DR, 1.500.000,Van Maarschalkerwaart Makelaardij B.V.
De Lairessestraat 68 3,1071 PE, 1.500.000,Aemestelle Makelaars B.V.
Derkinderenstraat 49 R,1062 DA, 300.000,Makelaardij Hendriks B.V.
Langswater 764,1069 EG, 199.500,ERA Van de Steege  Amsterdam-Centrum
Rustenburgerstraat 406,1072 HH, 1.675.000,Makelaardij De Nederlanden B.V.
Nieuwe Prinsengracht 18 Ii,1018 XJ, 530.000,Francis Helmig makelaardij
Gerard Schaepstraat 5-hs,1052 GK, 525.000,de Haas Makelaars
Carolina Macgillavrylaan 560,1098 XB, 479.000,Makelaarsland
Hendrik de Bruynstraat 20 1,1065 EE, 275.000,Scholten Vastgoed B.V.
Plantage Muidergracht 157 Hs,1018 TT, 1.450.000,Dstrct Amsterdam
Jan Olphert Vaillantlaan 83 B,1086 XZ, 590.000,Makelaarsland
Singel 206 A,1016 AA, 995.000,PC22
Inzet 42,1068 RD, 225.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Ijburglaan 819,1087 CL, 425.000,Linger OG
Pieter van der Werfstraat 203,1067 EM, 275.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Tussen Meer 202,1069 DW, 225.000,Makelaardij Hendriks B.V.
Ijburglaan 1453,1087 KH, 375.000,Hallie & van Klooster Makelaardij
Jephtastraat 53 1,1055 JS, 250.000,De Oude Stad Makelaardij
Ostwaldstraat 16,1097 JA, 569.500,Westeneng Verbeek makelaardij
Beysterveld 159,1083 KC, 670.000,C. Hoen Dzn c.v.
Zuiderzeepark 24,1024 MG, 285.000,ERA Van de Steege  Amsterdam-Centrum
Thomas A Kempisstraat 10,1064 LV, 290.000,JLG Real Estate B.V.
Balatonmeerlaan 3,1060 RD, 550.000,RE/MAX PRO
Spadinalaan 6,1031 KB, 630.000,Hallie & van Klooster Makelaardij
Dierenriem 94,1033 AH, 240.000,De Huizenbemiddelaar Amsterdam 2
Eerste Atjehstraat 111 3,1094 KG, 495.000,Dé Beheermakelaar
Jesse Owenshof 37,1034 WT, 335.000,Makelaardij Hendriks B.V.
Van Oldenbarneveldtplein 11 Hs,1052 JL, 875.000,Hallie & van Klooster Makelaardij
Sarphatistraat 60 E,1018 GP, 400.000,Makelaardij De Nederlanden B.V.
Frans van Mierisstraat 29 3,1071 RJ, 1.595.000,Voogd Makelaardij B.V.
Perseusstraat 4,1033 XG, 274.511,11 Makelaars B.V.
Prinsengracht 211 C,1015 DT, 1.445.000,Dstrct Amsterdam
Korte Geuzenstraat 11 Iii,1056 KR, 400.000,Makelaardij Hendriks B.V.
Tweede Oosterparkstraat 143 B,1092 BC, 425.000,Ramon Mossel Makelaardij o.g. B.V.
Jisperveldstraat 234,1024 AL, 225.000,Linger OG
Ruimzicht 5,1068 CL, 230.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Rombout Hogerbeetsstraat 4 3,1052 XA, 595.000,Isaak Makelaardij o.g. B.V.
Jeltje de Bosch Kemperpad 115,1054 PJ, 369.000,Makelaardij o.g. Willemspark
Kuinderstraat 19 Hs,1079 DH, 375.000,Amstel Makelaardij o.g.
Oostelijke Handelskade 1199,1019 DN, 525.000,Makelaarsbalie
Rooseveltlaan 129 2,1079 AJ, 585.000,Francis Helmig makelaardij
Brouwersgracht 105 G,1015 GD, 519.000,Hans Kok
Kerkstraat 261 1,1017 GW, 1.095.000,Makelaardij De Nederlanden B.V.
Plantage Doklaan 38,1018 CN, 1.295.000,Makelaarskantoor Draijer
Olympiakade 35 -iii,1076 XT, 325.000,Alice Bakker Makelaardij O.G.
Overtoom 34 2,1054 HK, 799.011,11 Makelaars B.V.
Ben Viljoenstraat 29,1091 XS, 300.000,Makelaardij Hendriks B.V.
Burg Cramergracht 74,1064 AG, 215.000,Makelaardij Hendriks B.V.
Knollendamstraat 175 Huis,1013 TM, 750.000,Keizerskroon Makelaars
Leiduinstraat 20 1,1058 SK, 350.000,Wijkhuizen makelaars
Van Ostadestraat 62 1,1072 TA, 325.000,Amstelland Makelaars
Sportstraat 37-3,1076 TR, 375.000,Amsterdam at Home Makelaars
Reizigersweg 35,1033 WD, 225.000,Makelaardij Hendriks B.V.
Oosterpark 51,1092 AP, 775.000,Geldhof Makelaardij o.g.
Lindengracht 239 H,1015 KH, 625.000,ERA Van de Steege  Amsterdam-Centrum
Jan den Haenstraat 38 A,1055 WG, 550.000,Hallie & van Klooster Makelaardij
Delistraat 36 H,1094 CX, 375.000,DOEN Makelaars & Taxateurs B.V.
Fagelstraat 68 1,1052 GG, 275.000,Makelaardij Hendriks B.V.
Amsterdam E O 0 Ong,na, 68.000,Wijkhuizen makelaars
Fritz Dietrich Kahlenbergstraat 105,1087 LL, 350.000,Jacobus Recourt B.V.
Ceintuurbaan 205 3,1074 CV, 450.000,Henk Burger Makelaardij og B.V.
Roompotstraat 14hs,1078 KV, 739.000,Lengers Housing
Burg Hogguerstraat 335,1064 CR, 200.000,Makelaardij Hendriks B.V.
Lizzy Ansinghstraat 8,1072 RD, 345.000,Hallie & van Klooster Makelaardij
Dirk Bonsstraat 12 Hs,1063 TZ, 285.000,Jaap Admiraal Makelaardij B.V.
Willem Frederik Hermansstraat 47,1011 DG, 425.000,Makelaardij Hendriks B.V.
Graaf Florisstraat 25 3,1091 TE, 600.000,Amsterdam at Home Makelaars
Johannes Vermeerstraat 53 3,1071 DM, 1.250.000,Amsterdam at Home Makelaars
Veerstraat 71 1,1075 SP, 275.000,Makelaardij Hendriks B.V.
Theodoor van Hoytemastraat 42,1062 CG, 250.000,Makelaardij Hendriks B.V.
"Van der Boechorststraat 34, 1081 BT Amsterdam",na, 1.890.000,BNV Makelaars
De Egmondenstraat 17,1024 RS, 200.000,ERA Van de Steege  Amsterdam-Centrum
Czaar Peterstraat 3 -c,1018 NW, 295.000,Francis Helmig makelaardij
Jan den Haenstraat 38 E,1055 WG, 275.000,Hallie & van Klooster Makelaardij
Ben van Meerendonkstraat 10,1087 LE, 475.000,ERA Van de Steege  Amsterdam-Centrum
Admiraal de Ruijterweg 144 3,1056 GV, 425.000,Your Home Makelaardij
Tweede Wittenburgerdwarsstraat 9,1018 LP, 420.000,Belle Makelaardij
Rustenburgerstraat 386-iii,1072 HG, 265.000,Thoma Post Makelaar Amsterdam
Jan den Haenstraat 22 A,1055 WE, 550.000,Hallie & van Klooster Makelaardij
Turnerstraat 11 Hs,1076 VA, 275.000,Collectief makelaars
Keizersgracht 709 I,1017 DW, 715.000,Makelaardij o.g. Willemspark
Camperstraat 16 1,1091 AE, 450.000,Peters & van der Vloodt b.v.
Kerkstraat 78 C,1017 GN, 825.000,Dstrct Amsterdam
Johan Huizingalaan 298 2,1065 JN, 250.000,Steijn & Steijn Makelaars
Beemsterstraat 503,1024 BE, 450.000,ERA Van de Steege  Amsterdam-Centrum
Achillesstraat 94 Iii,1076 RH, 400.000,JLG Real Estate B.V.
Joubertstraat 17 3,1091 XN, 399.000,Makelaardij o.g. Willemspark
Abebe Bikilalaan 39,1034 WL, 275.000,Makelaardij Hendriks B.V.
Admiralengracht 68 3,1057 GB, 325.000,Henk Burger Makelaardij og B.V.
Joos Banckersplantsoen 31 +pp,1056 LC, 600.000,Amsterdam at Home Makelaars
Nieuwe Herengracht 23 3,1011 RL, 400.000,Linger OG
Veembroederhof 209,1019 HD, 600.000,RE/MAX PRO
Baden Powellweg 12,1069 KW, 350.000,Amsterdam at Home Makelaars
Admiraal de Ruijterweg 297 Iii,1055 LW, 340.000,Beekman Makelaardij o/g B.V.
Van Boetzelaerstraat 69 Iii,1051 EA, 525.000,Van Maarschalkerwaart Makelaardij B.V.
