Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,1984,57 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,85,2
Appartement,1939,56 m²,190 m³,-,Zwembad,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,414,1
Benedenwoning,1930,90 m²,246 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,74,5
Bovenwoning,1911,77 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,253,1
Appartement,1983,71 m²,222 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,257,3
Eengezinswoning,1962,198 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,1.635,2
Bovenwoning,1005,176 m²,-,-,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,-,43,4
Woon-/winkelpand,1965,66 m²,212 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,57,0
Woonboot,1924,80 m²,160 m³,1 m²,-,-,Gaskachel,-,-,-,5,2,-,-,-,-,-,WoningenWaterGracht,-,-,14.052,6
-,1965,99 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,33,0
Woning,1913,141 m²,501 m³,-,-,-,Openhaard,-,-,-,5,4,-,-,-,-,-,-,Ja,-,293,1
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,8,0
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,8,1
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,10,1
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,9,1
Bovenwoning,-,99 m²,297 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,14,1
Bovenwoning,-,208 m²,624 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,11,0
Bovenwoning,-,171 m²,513 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,10,0
Bovenwoning,-,171 m²,513 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,10,0
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,27,6
Eengezinswoning,-,161 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,27,5
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,29,5
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,27,5
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,30,7
Woning,1935,77 m²,282 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,49,0
Benedenwoning,-,116 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,4,1
Appartement,1906,,285 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,9,0
Appartement,1906,,126 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,26,2
Woonboot,1927,39 m²,65 m³,1 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,13.861,12
Appartement,2011,86 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,Ja,158,1
Bovenwoning,1998,106 m²,325 m³,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,Ja,114,7
Appartement,1913,91 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,39,2
Woning,1900,256 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,1
Bovenwoning,1913,228 m²,665 m³,-,-,-,-,-,-,-,8,6,-,-,-,-,-,-,Ja,-,106,2
Bovenwoning,1908,26 m²,74 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,338,2
Appartement,2015,28 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,166,5
Woning,1912,,2.123 m³,241 m²,-,-,-,-,-,-,14,2,-,-,-,-,-,-,-,-,92,4
Appartement,2007,80 m²,245 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,153,7
Appartement,1930,49 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,33,1
Woning,1966,42 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0
Appartement,1927,,230 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,Ja,28,5
Tussenwoning,1926,435 m²,1.564 m³,251 m²,-,-,Openhaard,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,171,3
Bedrijfsruimte,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,78,0
Appartement,1965,34 m²,113 m³,-,Lift,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,666,3
Bovenwoning,1961,68 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,65,2
Studio,2018,132 m²,353 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,48,1
Benedenwoning,1925,52 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,56,1
Appartement,1989,89 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,31,1
Benedenwoning,1924,51 m²,190 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,268,3
-,2019,140 m²,375 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,27,0
Appartement,-,122 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,Ja,17,0
Dubbele bovenwoning,1916,133 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,108,4
Woon-/winkelpand,1005,190 m²,606 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,99,0
Appartement,1993,105 m²,327 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,Ja,89,0
Woning,1930,97 m²,429 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,-,-,124,0
Appartement,1899,55 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0
Appartement,1912,160 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,8,2
Dubbele bovenwoning,1930,51 m²,464 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,19,3
Appartement,1906,,303 m³,-,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,10,0
Appartement,1983,,232 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,52,7
Appartement,-,115 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,Ja,-,10,1
Woning,1911,70 m²,231 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,6,0
Eengezinswoning,1999,168 m²,580 m³,172 m²,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,Ja,-,5.772,0
Appartement,1983,29 m²,-,289 m²,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2.187,4
Bovenwoning,1926,59 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,234,2
Eengezinswoning,-,160 m²,480 m³,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,-,28,10
Bovenwoning,-,198 m²,594 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,16,0
Bovenwoning,1965,80 m²,245 m³,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,91,0
Garage,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,6,6
Appartement,1889,45 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,298,1
Appartement,-,134 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,Ja,12,0
Benedenwoning,1983,76 m²,255 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,176,1
Appartement,1992,79 m²,237 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,192,4
Appartement,2009,80 m²,260 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,41,6
Bovenwoning,1930,104 m²,368 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,50,11
Appartement,-,223 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,14,0
Appartement,1955,101 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,-,104,6
Benedenwoning,1928,148 m²,430 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,30,1
Bovenwoning,2003,125 m²,383 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,230,3
Woning,1925,275 m²,825 m³,280 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,712,2
Appartement,1984,56 m²,155 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,48,6
Appartement,1904,79 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,7,2
Bovenwoning,1930,60 m²,215 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,65,6
Appartement,1899,40 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,94,8
Eengezinswoning,1937,85 m²,302 m³,133 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,846,13
Benedenwoning,1904,53 m²,185 m³,-,-,-,-,-,-,-,-,1,-,-,-,-,Ja,-,-,-,111,1
Appartement,1975,104 m²,275 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,76,0
Appartement,-,,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,Ja,107,5
Benedenwoning,1931,98 m²,316 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,46,5
Bovenwoning,-,122 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,Ja,16,0
Appartement,1925,72 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,19,6
Bovenwoning,2003,88 m²,255 m³,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,251,3
Bovenwoning,1906,86 m²,594 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,130,1
Bovenwoning,-,58 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,17,1
Bovenwoning,-,58 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,17,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,39,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,32,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,36,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,39,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,38,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,23,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,44,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,33,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,25,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,39,1
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,30,0
Bovenwoning,-,49 m²,147 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,31,0
Appartement,1005,61 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,50,1
Appartement,1940,49 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,258,2
Benedenwoning,1922,257 m²,750 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,22,3
Benedenwoning,1920,49 m²,181 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,315,5
Dubbele bovenwoning,1912,145 m²,492 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,45,2
Woning,1905,86 m²,224 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,63,3
Woning,1875,47 m²,175 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,70,0
Woning,1930,107 m²,330 m³,-,-,-,-,-,-,-,6,2,-,-,-,-,-,-,-,-,46,0
Woonboot,-,,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,373,7
Bovenwoning,2010,108 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,236,0
Appartement,1906,118 m²,347 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,88,2
Benedenwoning,1935,68 m²,213 m³,-,Zwembad,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,37,0
Appartement,1962,74 m²,222 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,115,5
Appartement,1905,69 m²,384 m³,-,-,-,Openhaard,-,-,-,5,4,-,-,-,-,Ja,-,-,-,73,6
-,1968,98 m²,326 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,7,0
Herenhuis,1992,154 m²,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,136,0
-,-,31 m²,101 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,Ja,-,364,4
Benedenwoning,2006,93 m²,450 m³,-,-,-,-,-,-,-,-,1,-,-,-,-,Ja,-,-,Ja,39,0
Appartement,1871,65 m²,467 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,72,4
Appartement,1902,,159 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,Ja,20,0
Benedenwoning,1910,,240 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,26,0
Dubbele bovenwoning,1902,137 m²,-,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,-,-,Ja,-,20,0
-,-,88 m²,250 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,19,0
Benedenwoning,1923,56 m²,198 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,73,2
Bovenwoning,-,134 m²,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,17,0
-,1906,102 m²,352 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,938,2
Woon-/winkelpand,1925,52 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,36,0
Woning,1994,80 m²,244 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,251,0
Appartement,2000,83 m²,249 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,420,2
-,2004,91 m²,281 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,162,0
Woning,1929,61 m²,231 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,261,0
Tussenwoning,-,,-,102 m²,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,74,2
Appartement,1882,,510 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,47,21
Woning,-,,-,24 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,4,4
Appartement,1926,53 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,63,6
Appartement,-,33 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,46,2
Bovenwoning,1906,221 m²,667 m³,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,-,-,-,Ja,14,2
Bovenwoning,1932,97 m²,291 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,65,0
Woonboot,-,60 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,866,7
Appartement,1950,69 m²,182 m³,-,-,Dubbelglas,Centrale-verwarmingCV hoogrendement,-,-,Uitstekend,3,2,-,Moderne,Goed,Uitstekend,Achter,WoningenWinkelsGrachtParkGroenvoorzieningen,Ja,-,74,9
Appartement,1930,75 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,13,0
Vrijstaande woning,1951,68 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,41,1
Vrijstaande woning,1921,102 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,27,3
Vrijstaande woning,1911,88 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,37,5
Garage,-,,-,19 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,107,7
Woonboerderij,2004,335 m²,-,-,-,-,-,-,-,-,9,4,-,-,-,-,-,-,-,Ja,370,19
Appartement,1984,64 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,110,6
Woon-/winkelpand,1904,93 m²,-,-,-,-,Openhaard,-,-,-,3,-,-,-,-,-,-,-,-,-,53,0
Appartement,1005,79 m²,269 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,98,0
Bovenwoning,1906,128 m²,385 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,19,1
Benedenwoning,1906,118 m²,354 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,11,1
-,1986,92 m²,285 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,0
Appartement,1999,87 m²,248 m³,-,Lift,DubbelglasMuurDak,StadsverwarmingCentrale-verwarming,-,-,Goed,3,2,Bad,Moderne,Uitstekend,Uitstekend,-,WoningenWaterGroenvoorzieningen,Ja,-,471,6
Bovenwoning,1915,59 m²,190 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,149,2
Studio,1900,33 m²,89 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,525,1
Boerderij,1970,73 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,123,0
Woon-/winkelpand,1937,58 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,94,0
Bovenwoning,2008,100 m²,329 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,263,1
Bovenwoning,1919,46 m²,150 m³,-,Zwembad,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,120,3
-,1956,87 m²,288 m³,79 m²,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,276,0
Bovenwoning,1925,59 m²,217 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,124,2
-,1997,88 m²,258 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,102,0
Bovenwoning,2015,,280 m³,36 m²,-,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,92,0
Appartement,1963,69 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,85,6
Appartement,1965,87 m²,292 m³,-,Lift,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,167,10
Hoekwoning,2008,142 m²,530 m³,153 m²,Zwembad,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,1.571,16
Bovenwoning,2010,108 m²,336 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,306,2
Bovenwoning,1927,53 m²,167 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,134,1
Woning,1924,47 m²,170 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,121,2
Appartement,2000,91 m²,-,-,Lift,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,224,11
Appartement,1990,50 m²,155 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,588,5
Appartement,1993,78 m²,196 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,111,6
-,2006,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,81,2
Bovenwoning,1928,98 m²,327 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,426,8
Appartement,1955,71 m²,-,-,LiftZwembad,-,-,-,-,-,4,-,-,-,-,-,Ja,-,Ja,-,182,7
Herenhuis,1895,162 m²,411 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,Ja,-,544,14
Benedenwoning,1906,58 m²,164 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,92,4
Penthouse,-,143 m²,-,-,Lift,-,-,-,-,-,4,-,-,-,-,-,-,-,-,Ja,29,0
Benedenwoning,1903,182 m²,565 m³,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,36,1
Bovenwoning,1939,146 m²,699 m³,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,37,2
Benedenwoning,1906,94 m²,245 m³,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3
Appartement,1964,76 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,172,1
Appartement,1942,30 m²,-,-,Lift,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,936,3
Appartement,1985,57 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,81,0
Bovenwoning,1935,50 m²,160 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,Ja,-,154,0
Appartement,1937,59 m²,180 m³,153 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,120,1
Bovenwoning,-,81 m²,293 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,25,0
Bovenwoning,1995,50 m²,155 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,302,2
-,1990,52 m²,163 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,57,0
-,1998,120 m²,467 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,17,0
Appartement,2008,157 m²,436 m³,-,Lift,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,Ja,164,0
Eengezinswoning,1953,104 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,220,0
Woning,1931,127 m²,434 m³,-,-,-,-,-,-,-,7,4,-,-,-,-,-,-,-,-,52,0
Appartement,1967,52 m²,160 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,317,6
Appartement,2005,101 m²,307 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,Ja,199,2
-,1917,53 m²,185 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,101,0
Eengezinswoning,1953,104 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,629,0
Tussenwoning,1953,63 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,133,0
Appartement,1905,46 m²,126 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,106,0
Villa,1967,123 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,Ja,70,1
Bovenwoning,1940,151 m²,435 m³,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,-,-,Ja,-,26,0
Appartement,2007,80 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,Ja,197,6
Bovenwoning,1919,89 m²,326 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,98,1
Tussenwoning,1965,87 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,208,5
Appartement,1928,282 m²,665 m³,-,-,-,-,-,-,-,5,2,-,-,-,-,Ja,-,-,Ja,190,6
Bovenwoning,1984,,206 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,Ja,89,0
Recreatiewoning,-,320 m²,-,-,-,-,-,-,-,-,8,-,-,-,-,-,Ja,-,-,-,53,0
Appartement,-,150 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,Ja,75,0
Penthouse,1005,206 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,79,5
Appartement,1005,77 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,30,1
Bovenwoning,1005,180 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,1
Woning,1891,80 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,38,0
Garage,-,,-,19 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204,2
-,1957,110 m²,406 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,42,1
Appartement,1884,82 m²,206 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,117,0
Bovenwoning,2001,103 m²,268 m³,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,0
Dubbele bovenwoning,1906,,640 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,-,-,Ja,-,29,1
Appartement,1665,,271 m³,-,-,-,Openhaard,-,-,-,2,1,-,-,-,-,-,-,-,-,46,1
Benedenwoning,1906,,274 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,-,48,0
Woning,1933,127 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,53,0
Herenhuis,1912,103 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,34,2
Appartement,1935,72 m²,206 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,Ja,422,3
Appartement,-,88 m²,250 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,22,0
Appartement,1933,95 m²,265 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,30,0
Appartement,1894,87 m²,320 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,115,5
Benedenwoning,1914,133 m²,425 m³,-,-,-,Openhaard,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,22,3
Woning,1894,214 m²,785 m³,-,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,Ja,-,206,1
