Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Twee onder één kap,1955,117 m²,307 m³,304 m²,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,-,Ja,504,2
Eengezinswoning,1990,102 m²,365 m³,119 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,288,5
Appartement,2008,85 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,238,8
Appartement,1955,72 m²,240 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,83,49
Woning,1939,56 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,52,33
Bovenwoning,1930,58 m²,185 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,190,7
Penthouse,1994,141 m²,432 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,2.429,3
Eengezinswoning,2003,97 m²,319 m³,108 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,480,6
Woning,2008,150 m²,546 m³,183 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,515,3
Bovenwoning,1929,87 m²,236 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,223,17
Appartement,1978,132 m²,500 m³,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,51,17
Woon-/winkelpand,1922,71 m²,236 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,Ja,-,17,11
Bovenwoning,1725,98 m²,289 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,184,11
Tussenwoning,2003,173 m²,568 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,Ja,91,2
Eengezinswoning,1992,95 m²,-,99 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,714,26
Woning,1918,113 m²,428 m³,304 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,147,9
Eengezinswoning,1958,126 m²,420 m³,123 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.076,6
Bovenwoning,1984,71 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,9,9
Woning,2000,209 m²,900 m³,436 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,246,6
Tussenwoning,1991,104 m²,341 m³,122 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,1.041,4
Woonboot,1928,70 m²,161 m³,1 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,1.569,45
Eengezinswoning,1950,71 m²,299 m³,103 m²,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,-,-,253,19
