posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
12-04-2018, 849.000, 895.000," -46.000 / -5,1%", 849.000, 5.855,2 maanden
21-04-2018, 650.000, 650.000,-, 650.000, 5.804,1 maand
10-06-2018, 300.000, 300.000,-, 300.000, 5.263,10 dagen
16-06-2018, 500.000, 500.000,-,,,
20-06-2018, 210.000, 210.000,-, 210.000, 3.043,Nieuw
30-05-2018, 445.000, 445.000,-, 445.000, 3.870,21 dagen
30-05-2018, 459.000, 459.000,-, 459.000, 3.188,21 dagen
02-06-2018, 450.000, 450.000,-, 450.000, 5.056,18 dagen
28-03-2018, 749.000, 749.000,-, 749.000, 6.809,2 maanden
11-06-2018, 500.000, 500.000,-, 500.000, 6.757,9 dagen
07-04-2018, 2.000.000, 2.000.000,-, 2.000.000, 7.605,2 maanden
21-04-2018, 425.000, 425.000,-, 425.000, 6.071,1 maand
17-05-2018, 325.000, 325.000,-, 325.000, 4.710,1 maand
15-06-2018, 425.000, 425.000,-, 425.000, 5.313,5 dagen
16-06-2018, 395.000, 395.000,-, 395.000, 5.267,4 dagen
16-06-2018, 500.000, 500.000,-, 500.000, 5.952,4 dagen
16-06-2018, 545.000, 545.000,-, 545.000, 6.488,4 dagen
31-05-2018, 595.000, 625.000," -30.000 / -4,8%", 595.000, 5.360,20 dagen
10-06-2018, 990.000, 990.000,-, 990.000, 8.684,10 dagen
25-05-2018, 375.000, 375.000,-, 375.000, 5.208,26 dagen
19-05-2018, 1.395.000, 1.395.000,-, 1.395.000, 8.158,1 maand
24-05-2018, 399.000, 399.000,-, 399.000, 4.433,27 dagen
05-05-2018, 450.000, 450.000,-, 450.000, 3.879,1 maand
29-05-2018, 275.000, 275.000,-, 275.000, 3.090,22 dagen
09-06-2018, 350.000, 350.000,-, 350.000, 6.250,11 dagen
13-06-2018, 285.000, 285.000,-, 285.000, 4.831,7 dagen
08-05-2018, 325.000, 325.000,-, 325.000, 4.577,1 maand
18-05-2018, 495.000, 495.000,-, 495.000, 5.690,1 maand
02-06-2018, 533.000, 533.000,-, 533.000, 5.611,18 dagen
08-06-2018, 325.000, 325.000,-, 325.000, 3.155,12 dagen
12-05-2018, 1.585.000, 1.585.000,-, 1.585.000, 9.906,1 maand
23-05-2018, 265.000, 265.000,-, 265.000, 3.272,28 dagen
06-06-2018, 515.000, 515.000,-, 515.000, 6.438,14 dagen
07-06-2018, 2.250.000, 2.250.000,-, 2.250.000, 12.363,13 dagen
15-06-2018, 749.000, 749.000,-, 749.000, 7.000,5 dagen
15-06-2018, 325.000, 325.000,-, 325.000, 5.159,5 dagen
16-06-2018, 875.000, 875.000,-, 875.000, 7.479,4 dagen
16-06-2018, 315.000, 315.000,-, 315.000, 4.437,4 dagen
18-06-2018, 249.000, 249.000,-, 249.000, 2.677,Nieuw
19-06-2018, 4.450.000, 4.450.000,-, 4.450.000, 9.674,Nieuw
20-06-2018, 175.000, 175.000,-, 175.000, 3.302,Nieuw
30-05-2018, 225.000, 225.000,-, 225.000, 2.848,21 dagen
10-06-2018, 595.000, 595.000,-, 595.000, 7.727,10 dagen
14-06-2018, 495.000, 495.000,-, 495.000, 5.824,6 dagen
24-05-2018, 325.000, 325.000,-, 325.000, 5.242,27 dagen
04-06-2018, 385.000, 385.000,-, 385.000, 4.326,16 dagen
13-06-2018, 235.000, 235.000,-, 235.000, 3.357,7 dagen
30-03-2018, 1.500.000, 1.500.000,-, 1.500.000, 8.475,2 maanden
02-06-2018, 1.500.000, 1.500.000,-, 1.500.000, 9.677,18 dagen
07-06-2018, 300.000, 300.000,-, 300.000, 3.659,13 dagen
